Estado,Año,Codigo,Concepto,Aprobado,Devengado,Observaciones
Aguascalientes,2018,EAO2,Fondo Minero,0,0,x
Aguascalientes,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0,0,x
Aguascalientes,2018,EAQ,Otras Transferencias Federales Etiquetadas,0,0,x
Aguascalientes,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,9233219000,13458990323,x
Aguascalientes,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0,0,x
Aguascalientes,2018,EAR1,Ingresos Derivados de Financiamientos,0,0,x
Aguascalientes,2018,EATOTAL,TOTAL DE LOS INGRESOS,19500211000,25898510099,x
Baja California,2018,EAA,Impuestos,3452678859,4060209192,x
Baja California,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0,0,x
Baja California,2018,EAC,Contribuciones de Mejoras,13954150,18668174,x
Baja California,2018,EAD,Derechos,1126895181,1036498386,x
Baja California,2018,EAE,Productos,227887744,143435451,x
Baja California,2018,EAF,Aprovechamientos,231470895,229510394,x
Baja California,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0,0,x
Baja California,2018,EAH,Participaciones,22096936819,22930545168,x
Baja California,2018,EAH1,Fondo General de Participaciones,17187461876,17400945649,x
Baja California,2018,EAH2,Fondo de Fomento Municipal,511124384,540124334,x
Baja California,2018,EAH3,Fondo de Fiscalización y Recaudación,1095837672,1028199216,x
Baja California,2018,EAH4,Fondo de Compensación,0,0,x
Baja California,2018,EAH5,Fondo de Extracción de hidrocarburos,0,0,x
Baja California,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,568392205,463147697,x
Baja California,2018,EAH7,0.136% de la Recaudación Federal Participable,0,0,x
Baja California,2018,EAH8,3.17% Sobre Extracción de Petroleo,0,0,x
Baja California,2018,EAH9,Gasolinas y Diésel,809835630,777541523,x
Baja California,2018,EAH10,Fondo de Impuesto Sobre la Renta,1924285052,2720586749,x
Baja California,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0,0,x
Baja California,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,1348571940,1523859417,x
Baja California,2018,EAI1,Tenencia o Uso de Vehículos,0,583354,x
Baja California,2018,EAI2,Fondo de Compensación ISAN,61549208,61549213,x
Baja California,2018,EAI3,Impuesto Sobre Automóviles Nuevos,314901005,305917230,x
Baja California,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,122123644,96507992,x
Baja California,2018,EAI5,Otros Incentivos Económicos,849998083,1059301628,x
Baja California,2018,EAJ,Transferencias,0,0,x
Baja California,2018,EAK,Convenios,3171325325,0,x
Baja California,2018,EAK1,Otros Convenios y Subsidios,3171325325,0,x
Baja California,2018,EAL,Otros Ingresos de Libre Disposición ,0,10608720,x
Baja California,2018,EAL1,Participaciones en Ingresos Locales,0,0,x
Baja California,2018,EAL2,Otros Ingresos en Libre Disposición,0,10608720,x
Baja California,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,31669720913,29953334902,x
Baja California,2018,EAM,Aportaciones,18172955712,18771873194,x
Baja California,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,11192230090,11685311817,x
Baja California,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,2145528606,2228174998,x
Baja California,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,490764502,525801290,x
Baja California,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,2127608662,2129266071,x
Baja California,2018,EAM5,Fondo de Aportaciones Múltiples,470735752,531766622,x
Baja California,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,139750930,138342186,x
Baja California,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,297982963,282070976,x
Baja California,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,1308354207,1251139234,x
Baja California,2018,EAN,Convenios,0,4100093817,x
Baja California,2018,EAN1,Convenios de Protección Social en Salud,0,925241523,x
Baja California,2018,EAN2,Convenios de Descentralización,0,1000000,x
Baja California,2018,EAN3,Convenios de Reasignación,0,0,x
Baja California,2018,EAN4,Otros Convenios y Subsidios,0,3173852294,x
Baja California,2018,EAO,Fondos Distintos de Aportaciones ,0,0,x
Baja California,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,0,0,x
Baja California,2018,EAO2,Fondo Minero,0,0,x
Baja California,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0,2589078576,x
Baja California,2018,EAQ,Otras Transferencias Federales Etiquetadas,0,14848297,x
Baja California,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,18172955712,25475893884,x
Baja California,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,800000000,980005933,x
Baja California,2018,EAR1,Ingresos Derivados de Financiamientos,800000000,980005933,x
Baja California,2018,EATOTAL,TOTAL DE LOS INGRESOS,50642676625,56409234719,x
Baja California Sur,2018,EAA,Impuestos,873182344,975511143,x
Baja California Sur,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0,0,x
Baja California Sur,2018,EAC,Contribuciones de Mejoras,0,0,x
Baja California Sur,2018,EAD,Derechos,432782324,493535594,x
Baja California Sur,2018,EAE,Productos,5221810,12691092,x
Baja California Sur,2018,EAF,Aprovechamientos,543779160,216771696,x
Baja California Sur,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0,0,x
Baja California Sur,2018,EAH,Participaciones,4976041135,5443113643,x
Baja California Sur,2018,EAH1,Fondo General de Participaciones,3912768088,4087708948,x
Baja California Sur,2018,EAH2,Fondo de Fomento Municipal,195013759,203493030,x
Baja California Sur,2018,EAH3,Fondo de Fiscalización y Recaudación,226326609,225456717,x
Baja California Sur,2018,EAH4,Fondo de Compensación,0,0,x
Baja California Sur,2018,EAH5,Fondo de Extracción de hidrocarburos,0,0,x
Baja California Sur,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,149610783,132232093,x
Baja California Sur,2018,EAH7,0.136% de la Recaudación Federal Participable,0,0,x
Baja California Sur,2018,EAH8,3.17% Sobre Extracción de Petroleo,0,0,x
Baja California Sur,2018,EAH9,Gasolinas y Diésel,241996884,309237330,x
Baja California Sur,2018,EAH10,Fondo de Impuesto Sobre la Renta,250325012,484985525,x
Baja California Sur,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0,0,x
Baja California Sur,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,451887402,647367306,x
Baja California Sur,2018,EAI1,Tenencia o Uso de Vehículos,2121282,1238155,x
Baja California Sur,2018,EAI2,Fondo de Compensación ISAN,11514969,11514969,x
Baja California Sur,2018,EAI3,Impuesto Sobre Automóviles Nuevos,75700711,83090304,x
Baja California Sur,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,28982117,22254903,x
Baja California Sur,2018,EAI5,Otros Incentivos Económicos,333568323,529268975,x
Baja California Sur,2018,EAJ,Transferencias,0,0,x
Baja California Sur,2018,EAK,Convenios,0,0,x
Baja California Sur,2018,EAK1,Otros Convenios y Subsidios,0,0,x
Baja California Sur,2018,EAL,Otros Ingresos de Libre Disposición ,0,0,x
Baja California Sur,2018,EAL1,Participaciones en Ingresos Locales,0,0,x
Baja California Sur,2018,EAL2,Otros Ingresos en Libre Disposición,0,0,x
Baja California Sur,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,7282894175,7788990474,x
Baja California Sur,2018,EAM,Aportaciones,6921570867,7219306509,x
Baja California Sur,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,4508820335,4634335727,x
Baja California Sur,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,1032227087,1049657718,x
Baja California Sur,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,204439446,288664292,x
Baja California Sur,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,476064297,481935719,x
Baja California Sur,2018,EAM5,Fondo de Aportaciones Múltiples,258546619,332752530,x
Baja California Sur,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,64541509,66215982,x
Baja California Sur,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,164722047,155707410,x
Baja California Sur,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,212209527,210037131,x
Baja California Sur,2018,EAN,Convenios,1045518689,3463332678,x
Baja California Sur,2018,EAN1,Convenios de Protección Social en Salud,0,234508630,x
Baja California Sur,2018,EAN2,Convenios de Descentralización,0,1097697842,x
Baja California Sur,2018,EAN3,Convenios de Reasignación,1045518689,2131126206,x
Baja California Sur,2018,EAN4,Otros Convenios y Subsidios,0,0,x
Baja California Sur,2018,EAO,Fondos Distintos de Aportaciones ,0,18342402,x
Baja California Sur,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,0,0,x
Baja California Sur,2018,EAO2,Fondo Minero,0,18342402,x
Baja California Sur,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",736183776,0,x
Baja California Sur,2018,EAQ,Otras Transferencias Federales Etiquetadas,0,31044155,x
Baja California Sur,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,8703273332,10732025744,x
Baja California Sur,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,429597600,594074976,x
Baja California Sur,2018,EAR1,Ingresos Derivados de Financiamientos,429597600,594074976,x
Baja California Sur,2018,EATOTAL,TOTAL DE LOS INGRESOS,16415765107,19115091194,x
Campeche,2018,EAA,Impuestos,1431518703,1406514702,x
Campeche,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0,0,x
Campeche,2018,EAC,Contribuciones de Mejoras,0,0,x
Campeche,2018,EAD,Derechos,428045654,439841775.6,x
Campeche,2018,EAE,Productos,97850322,118189318.3,x
Campeche,2018,EAF,Aprovechamientos,53230677,159666305.6,x
Campeche,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0,0,x
Campeche,2018,EAH,Participaciones,7409417450,8641962942,x
Campeche,2018,EAH1,Fondo General de Participaciones,4361060335,5291230024,x
Campeche,2018,EAH2,Fondo de Fomento Municipal,325209312,339727288,x
Campeche,2018,EAH3,Fondo de Fiscalización y Recaudación,216889449,226047139,x
Campeche,2018,EAH4,Fondo de Compensación,0,0,x
Campeche,2018,EAH5,Fondo de Extracción de hidrocarburos,1667490905,1844156187,x
Campeche,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,98848616,55983786,x
Campeche,2018,EAH7,0.136% de la Recaudación Federal Participable,0,0,x
Campeche,2018,EAH8,3.17% Sobre Extracción de Petroleo,0,0,x
Campeche,2018,EAH9,Gasolinas y Diésel,189918833,193495389,x
Campeche,2018,EAH10,Fondo de Impuesto Sobre la Renta,550000000,691323129,x
Campeche,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0,0,x
Campeche,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,208967890,222458505.7,x
Campeche,2018,EAI1,Tenencia o Uso de Vehículos,0,1875,x
Campeche,2018,EAI2,Fondo de Compensación ISAN,12537803,12537803,x
Campeche,2018,EAI3,Impuesto Sobre Automóviles Nuevos,52959352,42199543,x
Campeche,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,24070574,18121105,x
Campeche,2018,EAI5,Otros Incentivos Económicos,119400161,149598179.7,x
Campeche,2018,EAJ,Transferencias,0,0,x
Campeche,2018,EAK,Convenios,0,154186192.2,x
Campeche,2018,EAK1,Otros Convenios y Subsidios,0,154186192.2,x
Campeche,2018,EAL,Otros Ingresos de Libre Disposición ,0,0,x
Campeche,2018,EAL1,Participaciones en Ingresos Locales,0,0,x
Campeche,2018,EAL2,Otros Ingresos en Libre Disposición,0,0,x
Campeche,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,9629030696,11142819741,x
Campeche,2018,EAM,Aportaciones,7980660064,8046078884,x
Campeche,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,4251642339,4288574626,x
Campeche,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,1545278708,1572138022,x
Campeche,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,775558404,785476572,x
Campeche,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,550616053,555475951,x
Campeche,2018,EAM5,Fondo de Aportaciones Múltiples,382739746,352628160,x
Campeche,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,97839444,100133898,x
Campeche,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,130294016,136808717,x
Campeche,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,246691354,254842938,x
Campeche,2018,EAN,Convenios,1646401197,4736694213,x
Campeche,2018,EAN1,Convenios de Protección Social en Salud,300000000,307485502.5,x
Campeche,2018,EAN2,Convenios de Descentralización,1331401197,2818085625,x
Campeche,2018,EAN3,Convenios de Reasignación,15000000,0,x
Campeche,2018,EAN4,Otros Convenios y Subsidios,0,1611123086,x
Campeche,2018,EAO,Fondos Distintos de Aportaciones ,334900000,378613701,x
Campeche,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,334900000,378613701,x
Campeche,2018,EAO2,Fondo Minero,0,0,x
Campeche,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0,0,x
Campeche,2018,EAQ,Otras Transferencias Federales Etiquetadas,0,0,x
Campeche,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,9961961261,13161386798,x
Campeche,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0,1363638442,x
Campeche,2018,EAR1,Ingresos Derivados de Financiamientos,0,1363638442,x
Campeche,2018,EATOTAL,TOTAL DE LOS INGRESOS,19590991957,25667844982,x
Chiapas,2018,EAA,Impuestos,1477491677,1676446724,x
Chiapas,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0,0,x
Chiapas,2018,EAC,Contribuciones de Mejoras,0,0,x
Chiapas,2018,EAD,Derechos,1340168378,1256956627,x
Chiapas,2018,EAE,Productos,172203915,270329952,x
Chiapas,2018,EAF,Aprovechamientos,901460940,1784903284,x
Chiapas,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0,150010080,x
Chiapas,2018,EAH,Participaciones,29555404490,30822864977,x
Chiapas,2018,EAH1,Fondo General de Participaciones,24374887698,25668132088,x
Chiapas,2018,EAH2,Fondo de Fomento Municipal,783325935,819471094,x
Chiapas,2018,EAH3,Fondo de Fiscalización y Recaudación,1205230996,1217790338,x
Chiapas,2018,EAH4,Fondo de Compensación,721672726,701755264,x
Chiapas,2018,EAH5,Fondo de Extracción de hidrocarburos,84484260,80113529,x
Chiapas,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,198643015,199323234,x
Chiapas,2018,EAH7,0.136% de la Recaudación Federal Participable,0,0,x
Chiapas,2018,EAH8,3.17% Sobre Extracción de Petroleo,0,0,x
Chiapas,2018,EAH9,Gasolinas y Diésel,559245364,517658190,x
Chiapas,2018,EAH10,Fondo de Impuesto Sobre la Renta,1627914496,1618621240,x
Chiapas,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0,0,x
Chiapas,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,473133093,1192322188,x
Chiapas,2018,EAI1,Tenencia o Uso de Vehículos,1000,50505,x
Chiapas,2018,EAI2,Fondo de Compensación ISAN,39415188,39415188,x
Chiapas,2018,EAI3,Impuesto Sobre Automóviles Nuevos,159062247,149389551,x
Chiapas,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,61170096,46067797,x
Chiapas,2018,EAI5,Otros Incentivos Económicos,213484562,957399147,x
Chiapas,2018,EAJ,Transferencias,0,0,x
Chiapas,2018,EAK,Convenios,19069676,10018000,x
Chiapas,2018,EAK1,Otros Convenios y Subsidios,19069676,10018000,x
Chiapas,2018,EAL,Otros Ingresos de Libre Disposición ,0,0,x
Chiapas,2018,EAL1,Participaciones en Ingresos Locales,0,0,x
Chiapas,2018,EAL2,Otros Ingresos en Libre Disposición,0,0,x
Chiapas,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,33938932169,37163851832,x
Chiapas,2018,EAM,Aportaciones,42785528438,43580539678,x
Chiapas,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,18205808822,18751361268,x
Chiapas,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,4321768557,4424848185,x
Chiapas,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,12124448664,12124448664,x
Chiapas,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,3196165109,3196165109,x
Chiapas,2018,EAM5,Fondo de Aportaciones Múltiples,1508403326,1662689835,x
Chiapas,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,348845570,356607340,x
Chiapas,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,313382265,297713152,x
Chiapas,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,2766706125,2766706125,x
Chiapas,2018,EAN,Convenios,167003450,405251694,x
Chiapas,2018,EAN1,Convenios de Protección Social en Salud,0,0,x
Chiapas,2018,EAN2,Convenios de Descentralización,0,0,x
Chiapas,2018,EAN3,Convenios de Reasignación,167003450,346802709,x
Chiapas,2018,EAN4,Otros Convenios y Subsidios,0,58448985,x
Chiapas,2018,EAO,Fondos Distintos de Aportaciones ,131279333,137901332,x
Chiapas,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,131279333,137901332,x
Chiapas,2018,EAO2,Fondo Minero,0,0,x
Chiapas,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",12247578109,15913510870,x
Chiapas,2018,EAQ,Otras Transferencias Federales Etiquetadas,0,0,x
Chiapas,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,55331389330,60037203574,x
Chiapas,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0,4155639459,x
Chiapas,2018,EAR1,Ingresos Derivados de Financiamientos,0,4155639459,x
Chiapas,2018,EATOTAL,TOTAL DE LOS INGRESOS,89270321499,1.01357E+11,x
Chihuahua,2018,EAA,Impuestos,4839495365,5097062568,x
Chihuahua,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0,0,x
Chihuahua,2018,EAC,Contribuciones de Mejoras,0,0,x
Chihuahua,2018,EAD,Derechos,5246583223,5593006980,x
Chihuahua,2018,EAE,Productos,257485008,252717343,x
Chihuahua,2018,EAF,Aprovechamientos,2299935053,2642660172,x
Chihuahua,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0,0,x
Chihuahua,2018,EAH,Participaciones,22726197126,23195878778,x
Chihuahua,2018,EAH1,Fondo General de Participaciones,17501495550,17924440308,x
Chihuahua,2018,EAH2,Fondo de Fomento Municipal,807569482,871130253,x
Chihuahua,2018,EAH3,Fondo de Fiscalización y Recaudación,982637422,1038894817,x
Chihuahua,2018,EAH4,Fondo de Compensación,0,0,x
Chihuahua,2018,EAH5,Fondo de Extracción de hidrocarburos,0,0,x
Chihuahua,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,565284734,435921958,x
Chihuahua,2018,EAH7,0.136% de la Recaudación Federal Participable,141258873,181950926,x
Chihuahua,2018,EAH8,3.17% Sobre Extracción de Petroleo,0,0,x
Chihuahua,2018,EAH9,Gasolinas y Diésel,947815824,811606969,x
Chihuahua,2018,EAH10,Fondo de Impuesto Sobre la Renta,1780135241,1931933547,x
Chihuahua,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0,0,x
Chihuahua,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,1331014262,1398177456,x
Chihuahua,2018,EAI1,Tenencia o Uso de Vehículos,1182235,1337330,x
Chihuahua,2018,EAI2,Fondo de Compensación ISAN,453008522,399248899,x
Chihuahua,2018,EAI3,Impuesto Sobre Automóviles Nuevos,0,0,x
Chihuahua,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,134230556,104503853,x
Chihuahua,2018,EAI5,Otros Incentivos Económicos,742592949,893087374,x
Chihuahua,2018,EAJ,Transferencias,0,0,x
Chihuahua,2018,EAK,Convenios,0,0,x
Chihuahua,2018,EAK1,Otros Convenios y Subsidios,0,0,x
Chihuahua,2018,EAL,Otros Ingresos de Libre Disposición ,0,0,x
Chihuahua,2018,EAL1,Participaciones en Ingresos Locales,0,0,x
Chihuahua,2018,EAL2,Otros Ingresos en Libre Disposición,0,0,x
Chihuahua,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,36700710037,38179503297,x
Chihuahua,2018,EAM,Aportaciones,20371663670,20547904725,x
Chihuahua,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,11688307645,11925893793,x
Chihuahua,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,2601788520,2657398029,x
Chihuahua,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,1409936265,1391436721,x
Chihuahua,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,2228509014,2245282483,x
Chihuahua,2018,EAM5,Fondo de Aportaciones Múltiples,682523055,608697086,x
Chihuahua,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,221801959,243552494,x
Chihuahua,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,217541656,219862294,x
Chihuahua,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,1321255556,1255781825,x
Chihuahua,2018,EAN,Convenios,6937114653,8208114909,x
Chihuahua,2018,EAN1,Convenios de Protección Social en Salud,1202989334,1068481118,x
Chihuahua,2018,EAN2,Convenios de Descentralización,0,0,x
Chihuahua,2018,EAN3,Convenios de Reasignación,0,0,x
Chihuahua,2018,EAN4,Otros Convenios y Subsidios,5734125319,7139633791,x
Chihuahua,2018,EAO,Fondos Distintos de Aportaciones ,101000000,129924190,x
Chihuahua,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,0,0,x
Chihuahua,2018,EAO2,Fondo Minero,101000000,129924190,x
Chihuahua,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0,0,x
Chihuahua,2018,EAQ,Otras Transferencias Federales Etiquetadas,0,0,x
Chihuahua,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,27409778323,28885943824,x
Chihuahua,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0,2770000000,x
Chihuahua,2018,EAR1,Ingresos Derivados de Financiamientos,0,2770000000,x
Chihuahua,2018,EATOTAL,TOTAL DE LOS INGRESOS,64110488360,69835447121,x
Ciudad de Mexico,2018,EAA,Impuestos,57940607232,58171823197,x
Ciudad de Mexico,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0,0,x
Ciudad de Mexico,2018,EAC,Contribuciones de Mejoras,0,0,x
Ciudad de Mexico,2018,EAD,Derechos,14003619307,13909263171,x
Ciudad de Mexico,2018,EAE,Productos,13292085421,17288403478,x
Ciudad de Mexico,2018,EAF,Aprovechamientos,6649701893,5542364134,x
