Estado,Año,Código,Dependencia,Aprobado,Devengado,Observaciones
Aguascalientes,2018,CA82,INSTITUTO DE CIENCIA Y TECNOLOGIA DEL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2018,CATOT,TOTAL DEL GASTO,20959545000.00,24355010000.00,x
Aguascalientes,2019,CA1,PODER LEGISLATIVO,193000000.00,209500000.00,x
Aguascalientes,2019,CA2,PODER JUDICIAL,420000000.00,430000000.00,x
Aguascalientes,2019,CA3,DESPACHO DEL EJECUTIVO ESTATAL,114432000.00,121070061.67,x
Aguascalientes,2019,CA4,COORDINACIÓN GENERAL DE GABINETE,15160000.00,14938614.29,x
Aguascalientes,2019,CA5,SECRETARÍA GENERAL DE GOBIERNO,376356000.00,362750091.52,x
Aguascalientes,2019,CA6,SECRETARÍA DE SEGURIDAD PÚBLICA,937076000.00,842867466.86,x
Aguascalientes,2019,CA7,SECRETARÍA DE FINANZAS,452225000.00,235069041.04,x
Aguascalientes,2019,CA8,SECRETARÍA DE DESARROLLO ECONÓMICO,99591000.00,85428746.24,x
Aguascalientes,2019,CA9,SECRETARÍA DE SALUD,1119000.00,0.00,x
Aguascalientes,2019,CA10,"SECRETARÍA DE SUSTENTABILIDAD, MEDIO AMBIENTE Y AGUA",409514000.00,457712556.61,x
Aguascalientes,2019,CA11,"SECRETARÍA DE GESTIÓN URBANÍSTICA, ORDENAMIENTO TERRITORIAL, REGISTRAL Y CATASTRAL",83528000.00,75702317.19,x
Aguascalientes,2019,CA12,SECRETARÍA DE DESARROLLO SOCIAL,144972000.00,166580289.46,x
Aguascalientes,2019,CA13,SECRETARÍA DE OBRAS PÚBLICAS,1765493000.00,1025996742.99,x
Aguascalientes,2019,CA14,SECRETARÍA DE DESARROLLO RURAL Y AGROEMPRESARIAL,163933000.00,165020739.86,x
Aguascalientes,2019,CA15,SECRETARÍA DE TURISMO,56527000.00,55455066.84,x
Aguascalientes,2019,CA16,COORDINACIÓN GENERAL DE PLANEACIÓN Y PROYECTOS,30700000.00,38654971.75,x
Aguascalientes,2019,CA17,SECRETARÍA DE ADMINISTRACIÓN,140994000.00,137659647.71,x
Aguascalientes,2019,CA18,CONTRALORÍA DEL ESTADO,41418000.00,40395936.08,x
Aguascalientes,2019,CA19,COORDINACIÓN GENERAL DE MOVILIDAD,1034865000.00,144516499.36,x
Aguascalientes,2019,CA20,INSTITUTO ESTATAL DE SEGURIDAD PÚBLICA DE AGUASCALIENTES,19000000.00,19750000.00,x
Aguascalientes,2019,CA21,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS SERVIDORES PÚBLICOS DEL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2019,CA22,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,278583000.00,293747580.00,x
Aguascalientes,2019,CA23,INSTITUTO DE ASESORÍA Y DEFENSORÍA PÚBLICA DEL ESTADO DE AGUASCALIENTES,25863000.00,25980000.00,x
Aguascalientes,2019,CA24,INSTITUTO AGUASCALENTENSE DE LAS MUJERES,11705000.00,20634510.00,x
Aguascalientes,2019,CA25,INSTITUTO AGUASCALENTENSE DE LA JUVENTUD,16060000.00,15550000.00,x
Aguascalientes,2019,CA26,INSTITUTO DE VIVIENDA SOCIAL Y ORDENAMIENTO DE LA PROPIEDAD DEL ESTADO,0.00,52049410.00,x
Aguascalientes,2019,CA27,PROCURADURÍA ESTATAL DE PROTECCIÓN AL AMBIENTE,6520000.00,6520000.00,x
Aguascalientes,2019,CA28,INSTITUTO DEL AGUA DEL ESTADO,0.00,71968790.00,x
Aguascalientes,2019,CA29,INSTITUTO PARA EL DESARROLLO DE LA SOCIEDAD DEL CONOCIMIENTO DEL ESTADO DE AGUASCALIENTES,40208000.00,40208000.00,x
Aguascalientes,2019,CA30,PATRONATO DE LA FERIA NACIONAL DE SAN MARCOS,3600000.00,30040000.00,x
Aguascalientes,2019,CA31,INSTITUTO DE EDUCACIÓN DE AGUASCALIENTES,6915314000.00,6788278190.00,x
Aguascalientes,2019,CA32,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE AGUASCALIENTES.,279933000.00,314668830.00,x
Aguascalientes,2019,CA33,ESCUELA NORMAL DE AGUASCALIENTES,18339000.00,18339000.00,x
Aguascalientes,2019,CA34,INSTITUTO PARA LA EDUCACIÓN DE LAS PERSONAS JÓVENES Y ADULTAS DEL ESTADO DE AGUASCALIENTES,56629000.00,65002560.00,x
Aguascalientes,2019,CA35,COLEGIO DE EDUCACIÓN PROFESIONAL TÉCNICA DEL ESTADO DE AGUASCALIENTES.,83133000.00,86108140.00,x
Aguascalientes,2019,CA36,UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,1256703000.00,1302115920.00,x
Aguascalientes,2019,CA37,UNIVERSIDAD TECNOLÓGICA DE AGUASCALIENTES,66974000.00,124892350.00,x
Aguascalientes,2019,CA38,UNIVERSIDAD TECNOLÓGICA DEL NORTE DE AGUASCALIENTES,35996000.00,70881090.00,x
Aguascalientes,2019,CA39,UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES,26266000.00,52878030.00,x
Aguascalientes,2019,CA40,INSTITUTOS TECNOLOGICOS DEL ESTADO DE AGUASCALIENTES,0.00,10000000.00,x
Aguascalientes,2019,CA41,INSTITUTO CULTURAL DE AGUASCALIENTES,242474000.00,252676120.00,x
Aguascalientes,2019,CA42,INSTITUTO DEL DEPORTE DEL ESTADO DE AGUASCALIENTES,191407000.00,188612820.00,x
Aguascalientes,2019,CA43,RADIO Y TELEVISIÓN DE AGUASCALIENTES,35427000.00,47685000.00,x
Aguascalientes,2019,CA44,UNIVERSIDAD TECNOLÓGICA METROPOLITANA DE AGUASCALIENTES,5000000.00,8523990.00,x
Aguascalientes,2019,CA45,INSTITUTO DE CAPACITACIÓN PARA EL TRABAJO DEL ESTADO DE AGUASCALIENTES,43776000.00,49389550.00,x
Aguascalientes,2019,CA46,INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,2371809000.00,2798177140.00,x
Aguascalientes,2019,CA47,COMISIÓN ESTATAL DE ARBITRAJE MEDICO,5195000.00,5195000.00,x
Aguascalientes,2019,CA48,UNIVERSIDAD TECNOLÓGICA EL RETOÑO,16381000.00,36179470.00,x
Aguascalientes,2019,CA49,UNIVERSIDAD TECNOLÓGICA DE CALVILLO,8314000.00,17127080.00,x
Aguascalientes,2019,CA50,CENTRO DE COMPETITIVIDAD E INNOVACION DEL ESTADO DE AGUASCALIENTES,7387000.00,7411750.00,x
Aguascalientes,2019,CA51,ORGANO IMPLEMENTADOR DEL SISTEMA DE JUSTICIA PENAL EN EL ESTADO DE AGUASCALIENTES,6608000.00,4259710.00,x
Aguascalientes,2019,CA52,INSTITUTO ESTATAL DE GESTION EMPRESARIAL Y MEJORA REGULATORIA,8306000.00,5061780.00,x
Aguascalientes,2019,CA53,RÉGIMEN ESTATAL DE PROTECCIÓN SOCIAL EN SALUD DEL ESTADO DE AGUASCALIENTES,241336000.00,404104960.00,x
Aguascalientes,2019,CA54,INSTITUTO DE INFRAESTRUCTURA FÍSICA EDUCATIVA DEL ESTADO DE AGUASCALIENTES.,264146000.00,279212440.00,x
Aguascalientes,2019,CA55,CENTRO DE CONCILIACIÓN LABORAL DEL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2019,CA56,INSTITUTO DE PLANEACIÓN DEL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2019,CA57,MUNICIPIO DE AGUASCALIENTES,2175970000.00,2268451432.48,x
Aguascalientes,2019,CA58,MUNICIPIO DE ASIENTOS,137757000.00,157104293.39,x
Aguascalientes,2019,CA59,MUNICIPIO DE CALVILLO,197560000.00,205928177.34,x
Aguascalientes,2019,CA60,MUNICIPIO DE COSÍO,83255000.00,101037682.31,x
Aguascalientes,2019,CA61,MUNICIPIO DE EL LLANO,129430000.00,131147380.79,x
Aguascalientes,2019,CA62,MUNICIPIO DE JESÚS MARÍA,268716000.00,319310905.17,x
Aguascalientes,2019,CA63,MUNICIPIO DE PABELLÓN DE ARTEAGA,154555000.00,156589024.64,x
Aguascalientes,2019,CA64,MUNICIPIO DE RINCÓN DE ROMOS,136624000.00,169290835.31,x
Aguascalientes,2019,CA65,MUNICIPIO DE SAN FRANCISCO DE LOS ROMO,159615000.00,163137523.18,x
Aguascalientes,2019,CA66,MUNICIPIO DE SAN JOSÉ DE GRACIA,105931000.00,103321189.12,x
Aguascalientes,2019,CA67,MUNICIPIO DE TEPEZALÁ,99856000.00,100979088.59,x
Aguascalientes,2019,CA68,INSTITUTO ESTATAL ELECTORAL,132143000.00,132143000.00,x
Aguascalientes,2019,CA69,COMISIÓN ESTATAL DE DERECHOS HUMANOS,18921000.00,18921000.00,x
Aguascalientes,2019,CA70,INSTITUTO DE TRANSPARENCIA DEL ESTADO DE AGUASCALIENTES,22398000.00,22398000.00,x
Aguascalientes,2019,CA71,ÓRGANO SUPERIOR DE FISCALIZACIÓN,30128000.00,30128000.00,x
Aguascalientes,2019,CA72,FISCALÍA GENERAL DEL ESTADO DE AGUASCALIENTES,468977000.00,476477000.00,x
Aguascalientes,2019,CA73,TRIBUNAL ELECTORAL DEL ESTADO,15350000.00,16350000.00,x
Aguascalientes,2019,CA74,SECRETARÍA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCIÓN,14762000.00,14762000.00,x
Aguascalientes,2019,CA75,EMPRESAS DE PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Aguascalientes,2019,CA76,FIDEICOMISOS PÚBLICOS,338054000.00,2207409520.00,x
Aguascalientes,2019,CA77,ORGANISMOS NO GUBERNAMENTALES,48600000.00,49091820.00,x
Aguascalientes,2019,CA78,ENTIDAD O DELEGACIÓN FEDERAL,5112000.00,5081560.00,x
Aguascalientes,2019,CA79,PREVISIONES ECONÓMICAS,160000000.00,0.00,x
Aguascalientes,2019,CA80,DEUDA PÚBLICA,420134000.00,346305890.00,x
Aguascalientes,2019,CA81,SECRETARÍA DE LA FAMILIA,0.00,0.00,x
Aguascalientes,2019,CA82,INSTITUTO DE CIENCIA Y TECNOLOGIA DEL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2019,CATOT,TOTAL DEL GASTO,24393143000.00,25317913321.79,x
Aguascalientes,2020,CA1,PODER LEGISLATIVO,199755000.00,223755000.00,x
Aguascalientes,2020,CA2,PODER JUDICIAL,460000000.00,478684000.00,x
Aguascalientes,2020,CA3,DESPACHO DEL EJECUTIVO ESTATAL,123354000.00,133868010.00,x
Aguascalientes,2020,CA4,COORDINACIÓN GENERAL DE GABINETE,17181000.00,15522290.00,x
Aguascalientes,2020,CA5,SECRETARÍA GENERAL DE GOBIERNO,461533000.00,465802490.00,x
Aguascalientes,2020,CA6,SECRETARÍA DE SEGURIDAD PÚBLICA,1316934000.00,1006269370.00,x
Aguascalientes,2020,CA7,SECRETARÍA DE FINANZAS,560876000.00,212213070.00,x
Aguascalientes,2020,CA8,SECRETARÍA DE DESARROLLO ECONÓMICO,110030000.00,175442930.00,x
Aguascalientes,2020,CA9,SECRETARÍA DE SALUD,1184000.00,64000.00,x
Aguascalientes,2020,CA10,"SECRETARÍA DE SUSTENTABILIDAD, MEDIO AMBIENTE Y AGUA",318791000.00,117396570.00,x
Aguascalientes,2020,CA11,"SECRETARÍA DE GESTIÓN URBANÍSTICA, ORDENAMIENTO TERRITORIAL, REGISTRAL Y CATASTRAL",84216000.00,87332730.00,x
Aguascalientes,2020,CA12,SECRETARÍA DE DESARROLLO SOCIAL,178511000.00,160250300.00,x
Aguascalientes,2020,CA13,SECRETARÍA DE OBRAS PÚBLICAS,694232000.00,730924970.00,x
Aguascalientes,2020,CA14,SECRETARÍA DE DESARROLLO RURAL Y AGROEMPRESARIAL,166771000.00,155521630.00,x
Aguascalientes,2020,CA15,SECRETARÍA DE TURISMO,81218000.00,58616770.00,x
Aguascalientes,2020,CA16,COORDINACIÓN GENERAL DE PLANEACIÓN Y PROYECTOS,45924000.00,33531950.00,x
Aguascalientes,2020,CA17,SECRETARÍA DE ADMINISTRACIÓN,167855000.00,155936200.00,x
Aguascalientes,2020,CA18,CONTRALORÍA DEL ESTADO,46570000.00,45285750.00,x
Aguascalientes,2020,CA19,COORDINACIÓN GENERAL DE MOVILIDAD,411547000.00,144415940.00,x
Aguascalientes,2020,CA20,INSTITUTO ESTATAL DE SEGURIDAD PÚBLICA DE AGUASCALIENTES,19570000.00,56621380.00,x
Aguascalientes,2020,CA21,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS SERVIDORES PÚBLICOS DEL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2020,CA22,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,304424000.00,306741770.00,x
Aguascalientes,2020,CA23,INSTITUTO DE ASESORÍA Y DEFENSORÍA PÚBLICA DEL ESTADO DE AGUASCALIENTES,32639000.00,29950140.00,x
Aguascalientes,2020,CA24,INSTITUTO AGUASCALENTENSE DE LAS MUJERES,19838000.00,21794530.00,x
Aguascalientes,2020,CA25,INSTITUTO AGUASCALENTENSE DE LA JUVENTUD,16517000.00,16229110.00,x
Aguascalientes,2020,CA26,INSTITUTO DE VIVIENDA SOCIAL Y ORDENAMIENTO DE LA PROPIEDAD DEL ESTADO,0.00,0.00,x
Aguascalientes,2020,CA27,PROCURADURÍA ESTATAL DE PROTECCIÓN AL AMBIENTE,6520000.00,4349400.00,x
Aguascalientes,2020,CA28,INSTITUTO DEL AGUA DEL ESTADO,0.00,318396760.00,x
Aguascalientes,2020,CA29,INSTITUTO PARA EL DESARROLLO DE LA SOCIEDAD DEL CONOCIMIENTO DEL ESTADO DE AGUASCALIENTES,40208000.00,37187200.00,x
Aguascalientes,2020,CA30,PATRONATO DE LA FERIA NACIONAL DE SAN MARCOS,0.00,33459090.00,x
Aguascalientes,2020,CA31,INSTITUTO DE EDUCACIÓN DE AGUASCALIENTES,7152328000.00,7249323040.00,x
Aguascalientes,2020,CA32,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE AGUASCALIENTES.,310153000.00,339164680.00,x
Aguascalientes,2020,CA33,ESCUELA NORMAL DE AGUASCALIENTES,20225000.00,20225000.00,x
Aguascalientes,2020,CA34,INSTITUTO PARA LA EDUCACIÓN DE LAS PERSONAS JÓVENES Y ADULTAS DEL ESTADO DE AGUASCALIENTES,68881000.00,72069840.00,x
Aguascalientes,2020,CA35,COLEGIO DE EDUCACIÓN PROFESIONAL TÉCNICA DEL ESTADO DE AGUASCALIENTES.,87799000.00,89377440.00,x
Aguascalientes,2020,CA36,UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,1297870000.00,1332931960.00,x
Aguascalientes,2020,CA37,UNIVERSIDAD TECNOLÓGICA DE AGUASCALIENTES,106348000.00,112337070.00,x
Aguascalientes,2020,CA38,UNIVERSIDAD TECNOLÓGICA DEL NORTE DE AGUASCALIENTES,68250000.00,70222660.00,x
Aguascalientes,2020,CA39,UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES,52700000.00,58642450.00,x
Aguascalientes,2020,CA40,INSTITUTOS TECNOLOGICOS DEL ESTADO DE AGUASCALIENTES,0.00,5000000.00,x
Aguascalientes,2020,CA41,INSTITUTO CULTURAL DE AGUASCALIENTES,242474000.00,254687590.00,x
Aguascalientes,2020,CA42,INSTITUTO DEL DEPORTE DEL ESTADO DE AGUASCALIENTES,170407000.00,174827920.00,x
Aguascalientes,2020,CA43,RADIO Y TELEVISIÓN DE AGUASCALIENTES,36490000.00,48816670.00,x
Aguascalientes,2020,CA44,UNIVERSIDAD TECNOLÓGICA METROPOLITANA DE AGUASCALIENTES,6996000.00,12115230.00,x
Aguascalientes,2020,CA45,INSTITUTO DE CAPACITACIÓN PARA EL TRABAJO DEL ESTADO DE AGUASCALIENTES,45947000.00,53594210.00,x
Aguascalientes,2020,CA46,INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,2836672000.00,3534105920.00,x
Aguascalientes,2020,CA47,COMISIÓN ESTATAL DE ARBITRAJE MEDICO,5351000.00,5351000.00,x
Aguascalientes,2020,CA48,UNIVERSIDAD TECNOLÓGICA EL RETOÑO,32743000.00,33261730.00,x
Aguascalientes,2020,CA49,UNIVERSIDAD TECNOLÓGICA DE CALVILLO,16668000.00,18141350.00,x
Aguascalientes,2020,CA50,CENTRO DE COMPETITIVIDAD E INNOVACION DEL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2020,CA51,ORGANO IMPLEMENTADOR DEL SISTEMA DE JUSTICIA PENAL EN EL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2020,CA52,INSTITUTO ESTATAL DE GESTION EMPRESARIAL Y MEJORA REGULATORIA,0.00,0.00,x
Aguascalientes,2020,CA53,RÉGIMEN ESTATAL DE PROTECCIÓN SOCIAL EN SALUD DEL ESTADO DE AGUASCALIENTES,429571000.00,32404170.00,x
Aguascalientes,2020,CA54,INSTITUTO DE INFRAESTRUCTURA FÍSICA EDUCATIVA DEL ESTADO DE AGUASCALIENTES.,311673000.00,218143430.00,x
Aguascalientes,2020,CA55,CENTRO DE CONCILIACIÓN LABORAL DEL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2020,CA56,INSTITUTO DE PLANEACIÓN DEL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2020,CA57,MUNICIPIO DE AGUASCALIENTES,2376673000.00,2494191260.00,x
Aguascalientes,2020,CA58,MUNICIPIO DE ASIENTOS,154564000.00,183851720.00,x
