Estado,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Aguascalientes,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,5665669000.00,6184578972.00,x
Aguascalientes,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,1532032000.00,1562857992.00,x
Aguascalientes,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,396501000.00,320429265.00,x
Aguascalientes,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,778329000.00,784823092.00,x
Aguascalientes,2018,EAM5,Fondo de Aportaciones Múltiples,313021000.00,429795285.00,x
Aguascalientes,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,102944000.00,111426779.00,x
Aguascalientes,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,110097000.00,118838800.00,x
Aguascalientes,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,334626000.00,328153313.00,x
Aguascalientes,2018,EAN,Convenios,0.00,3618086825.00,x
Aguascalientes,2018,EAN1,Convenios de Protección Social en Salud,0.00,596537982.00,x
Aguascalientes,2018,EAN2,Convenios de Descentralización,0.00,3021548843.00,x
Aguascalientes,2018,EAN3,Convenios de Reasignación,0.00,0.00,x
Aguascalientes,2018,EAN4,Otros Convenios y Subsidios,0.00,0.00,x
Aguascalientes,2018,EAO,Fondos Distintos de Aportaciones ,0.00,0.00,x
Aguascalientes,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,0.00,0.00,x
Aguascalientes,2018,EAO2,Fondo Minero,0.00,0.00,x
Aguascalientes,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0.00,0.00,x
Aguascalientes,2018,EAQ,Otras Transferencias Federales Etiquetadas,0.00,0.00,x
Aguascalientes,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,9233219000.00,13458990323.00,x
Aguascalientes,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0.00,0.00,x
Aguascalientes,2018,EAR1,Ingresos Derivados de Financiamientos,0.00,0.00,x
Aguascalientes,2018,EATOTAL,TOTAL DE LOS INGRESOS,19500211000.00,25898510099.00,x
Baja California,2018,EAA,Impuestos,3452678859.00,4060209192.00,x
Baja California,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0.00,0.00,x
Baja California,2018,EAC,Contribuciones de Mejoras,13954150.00,18668174.00,x
Baja California,2018,EAD,Derechos,1126895181.00,1036498386.00,x
Baja California,2018,EAE,Productos,227887744.00,143435451.00,x
Baja California,2018,EAF,Aprovechamientos,231470895.00,229510394.00,x
Baja California,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0.00,0.00,x
Baja California,2018,EAH,Participaciones,22096936819.00,22930545168.00,x
Baja California,2018,EAH1,Fondo General de Participaciones,17187461876.00,17400945649.00,x
Baja California,2018,EAH2,Fondo de Fomento Municipal,511124384.00,540124334.00,x
Baja California,2018,EAH3,Fondo de Fiscalización y Recaudación,1095837672.00,1028199216.00,x
Baja California,2018,EAH4,Fondo de Compensación,0.00,0.00,x
Baja California,2018,EAH5,Fondo de Extracción de hidrocarburos,0.00,0.00,x
Baja California,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,568392205.00,463147697.00,x
Baja California,2018,EAH7,0.136% de la Recaudación Federal Participable,0.00,0.00,x
Baja California,2018,EAH8,3.17% Sobre Extracción de Petroleo,0.00,0.00,x
Baja California,2018,EAH9,Gasolinas y Diésel,809835630.00,777541523.00,x
Baja California,2018,EAH10,Fondo de Impuesto Sobre la Renta,1924285052.00,2720586749.00,x
Baja California,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0.00,0.00,x
Baja California,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,1348571940.00,1523859417.00,x
Baja California,2018,EAI1,Tenencia o Uso de Vehículos,0.00,583354.00,x
Baja California,2018,EAI2,Fondo de Compensación ISAN,61549208.00,61549213.00,x
Baja California,2018,EAI3,Impuesto Sobre Automóviles Nuevos,314901005.00,305917230.00,x
Baja California,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,122123644.00,96507992.00,x
Baja California,2018,EAI5,Otros Incentivos Económicos,849998083.00,1059301628.00,x
Baja California,2018,EAJ,Transferencias,0.00,0.00,x
Baja California,2018,EAK,Convenios,3171325325.00,0.00,x
Baja California,2018,EAK1,Otros Convenios y Subsidios,3171325325.00,0.00,x
Baja California,2018,EAL,Otros Ingresos de Libre Disposición ,0.00,10608720.00,x
Baja California,2018,EAL1,Participaciones en Ingresos Locales,0.00,0.00,x
Baja California,2018,EAL2,Otros Ingresos en Libre Disposición,0.00,10608720.00,x
Baja California,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,31669720913.00,29953334902.00,x
Baja California,2018,EAM,Aportaciones,18172955712.00,18771873194.00,x
Baja California,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,11192230090.00,11685311817.00,x
Baja California,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,2145528606.00,2228174998.00,x
Baja California,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,490764502.00,525801290.00,x
Baja California,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,2127608662.00,2129266071.00,x
Baja California,2018,EAM5,Fondo de Aportaciones Múltiples,470735752.00,531766622.00,x
Baja California,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,139750930.00,138342186.00,x
Baja California,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,297982963.00,282070976.00,x
Baja California,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,1308354207.00,1251139234.00,x
Baja California,2018,EAN,Convenios,0.00,4100093817.00,x
Baja California,2018,EAN1,Convenios de Protección Social en Salud,0.00,925241523.00,x
Baja California,2018,EAN2,Convenios de Descentralización,0.00,1000000.00,x
Baja California,2018,EAN3,Convenios de Reasignación,0.00,0.00,x
Baja California,2018,EAN4,Otros Convenios y Subsidios,0.00,3173852294.00,x
Baja California,2018,EAO,Fondos Distintos de Aportaciones ,0.00,0.00,x
Baja California,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,0.00,0.00,x
Baja California,2018,EAO2,Fondo Minero,0.00,0.00,x
Baja California,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0.00,2589078576.00,x
Baja California,2018,EAQ,Otras Transferencias Federales Etiquetadas,0.00,14848297.00,x
Baja California,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,18172955712.00,25475893884.00,x
Baja California,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,800000000.00,980005933.00,x
Baja California,2018,EAR1,Ingresos Derivados de Financiamientos,800000000.00,980005933.00,x
Baja California,2018,EATOTAL,TOTAL DE LOS INGRESOS,50642676625.00,56409234719.00,x
Baja California Sur,2018,EAA,Impuestos,873182344.00,975511143.00,x
Baja California Sur,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0.00,0.00,x
Baja California Sur,2018,EAC,Contribuciones de Mejoras,0.00,0.00,x
Baja California Sur,2018,EAD,Derechos,432782324.00,493535594.00,x
Baja California Sur,2018,EAE,Productos,5221810.00,12691092.00,x
Baja California Sur,2018,EAF,Aprovechamientos,543779160.00,216771696.00,x
Baja California Sur,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0.00,0.00,x
Baja California Sur,2018,EAH,Participaciones,4976041135.00,5443113643.00,x
Baja California Sur,2018,EAH1,Fondo General de Participaciones,3912768088.00,4087708948.00,x
Baja California Sur,2018,EAH2,Fondo de Fomento Municipal,195013759.00,203493030.00,x
Baja California Sur,2018,EAH3,Fondo de Fiscalización y Recaudación,226326609.00,225456717.00,x
Baja California Sur,2018,EAH4,Fondo de Compensación,0.00,0.00,x
Baja California Sur,2018,EAH5,Fondo de Extracción de hidrocarburos,0.00,0.00,x
Baja California Sur,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,149610783.00,132232093.00,x
Baja California Sur,2018,EAH7,0.136% de la Recaudación Federal Participable,0.00,0.00,x
Baja California Sur,2018,EAH8,3.17% Sobre Extracción de Petroleo,0.00,0.00,x
Baja California Sur,2018,EAH9,Gasolinas y Diésel,241996884.00,309237330.00,x
Baja California Sur,2018,EAH10,Fondo de Impuesto Sobre la Renta,250325012.00,484985525.00,x
Baja California Sur,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0.00,0.00,x
Baja California Sur,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,451887402.00,647367306.00,x
Baja California Sur,2018,EAI1,Tenencia o Uso de Vehículos,2121282.00,1238155.00,x
Baja California Sur,2018,EAI2,Fondo de Compensación ISAN,11514969.00,11514969.00,x
Baja California Sur,2018,EAI3,Impuesto Sobre Automóviles Nuevos,75700711.00,83090304.00,x
Baja California Sur,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,28982117.00,22254903.00,x
Baja California Sur,2018,EAI5,Otros Incentivos Económicos,333568323.00,529268975.00,x
Baja California Sur,2018,EAJ,Transferencias,0.00,0.00,x
Baja California Sur,2018,EAK,Convenios,0.00,0.00,x
Baja California Sur,2018,EAK1,Otros Convenios y Subsidios,0.00,0.00,x
Baja California Sur,2018,EAL,Otros Ingresos de Libre Disposición ,0.00,0.00,x
Baja California Sur,2018,EAL1,Participaciones en Ingresos Locales,0.00,0.00,x
Baja California Sur,2018,EAL2,Otros Ingresos en Libre Disposición,0.00,0.00,x
Baja California Sur,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,7282894175.00,7788990474.00,x
Baja California Sur,2018,EAM,Aportaciones,6921570867.00,7219306509.00,x
Baja California Sur,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,4508820335.00,4634335727.00,x
Baja California Sur,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,1032227087.00,1049657718.00,x
Baja California Sur,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,204439446.00,288664292.00,x
Baja California Sur,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,476064297.00,481935719.00,x
Baja California Sur,2018,EAM5,Fondo de Aportaciones Múltiples,258546619.00,332752530.00,x
Baja California Sur,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,64541509.00,66215982.00,x
Baja California Sur,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,164722047.00,155707410.00,x
Baja California Sur,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,212209527.00,210037131.00,x
Baja California Sur,2018,EAN,Convenios,1045518689.00,3463332678.00,x
Baja California Sur,2018,EAN1,Convenios de Protección Social en Salud,0.00,234508630.00,x
Baja California Sur,2018,EAN2,Convenios de Descentralización,0.00,1097697842.00,x
Baja California Sur,2018,EAN3,Convenios de Reasignación,1045518689.00,2131126206.00,x
Baja California Sur,2018,EAN4,Otros Convenios y Subsidios,0.00,0.00,x
Baja California Sur,2018,EAO,Fondos Distintos de Aportaciones ,0.00,18342402.00,x
Baja California Sur,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,0.00,0.00,x
Baja California Sur,2018,EAO2,Fondo Minero,0.00,18342402.00,x
Baja California Sur,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",736183776.00,0.00,x
Baja California Sur,2018,EAQ,Otras Transferencias Federales Etiquetadas,0.00,31044155.00,x
Baja California Sur,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,8703273332.00,10732025744.00,x
Baja California Sur,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,429597600.00,594074976.00,x
Baja California Sur,2018,EAR1,Ingresos Derivados de Financiamientos,429597600.00,594074976.00,x
Baja California Sur,2018,EATOTAL,TOTAL DE LOS INGRESOS,16415765107.00,19115091194.00,x
Campeche,2018,EAA,Impuestos,1431518703.00,1406514701.75,x
Campeche,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0.00,0.00,x
Campeche,2018,EAC,Contribuciones de Mejoras,0.00,0.00,x
Campeche,2018,EAD,Derechos,428045654.00,439841775.64,x
Campeche,2018,EAE,Productos,97850322.00,118189318.29,x
Campeche,2018,EAF,Aprovechamientos,53230677.00,159666305.55,x
Campeche,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0.00,0.00,x
Campeche,2018,EAH,Participaciones,7409417450.00,8641962942.00,x
Campeche,2018,EAH1,Fondo General de Participaciones,4361060335.00,5291230024.00,x
Campeche,2018,EAH2,Fondo de Fomento Municipal,325209312.00,339727288.00,x
Campeche,2018,EAH3,Fondo de Fiscalización y Recaudación,216889449.00,226047139.00,x
Campeche,2018,EAH4,Fondo de Compensación,0.00,0.00,x
Campeche,2018,EAH5,Fondo de Extracción de hidrocarburos,1667490905.00,1844156187.00,x
Campeche,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,98848616.00,55983786.00,x
Campeche,2018,EAH7,0.136% de la Recaudación Federal Participable,0.00,0.00,x
Campeche,2018,EAH8,3.17% Sobre Extracción de Petroleo,0.00,0.00,x
Campeche,2018,EAH9,Gasolinas y Diésel,189918833.00,193495389.00,x
Campeche,2018,EAH10,Fondo de Impuesto Sobre la Renta,550000000.00,691323129.00,x
Campeche,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0.00,0.00,x
Campeche,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,208967890.00,222458505.68,x
Campeche,2018,EAI1,Tenencia o Uso de Vehículos,0.00,1875.00,x
Campeche,2018,EAI2,Fondo de Compensación ISAN,12537803.00,12537803.00,x
Campeche,2018,EAI3,Impuesto Sobre Automóviles Nuevos,52959352.00,42199543.00,x
Campeche,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,24070574.00,18121105.00,x
Campeche,2018,EAI5,Otros Incentivos Económicos,119400161.00,149598179.68,x
Campeche,2018,EAJ,Transferencias,0.00,0.00,x
Campeche,2018,EAK,Convenios,0.00,154186192.20,x
Campeche,2018,EAK1,Otros Convenios y Subsidios,0.00,154186192.20,x
Campeche,2018,EAL,Otros Ingresos de Libre Disposición ,0.00,0.00,x
Campeche,2018,EAL1,Participaciones en Ingresos Locales,0.00,0.00,x
Campeche,2018,EAL2,Otros Ingresos en Libre Disposición,0.00,0.00,x
Campeche,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,9629030696.00,11142819741.11,x
Campeche,2018,EAM,Aportaciones,7980660064.00,8046078884.12,x
Campeche,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,4251642339.00,4288574626.46,x
Campeche,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,1545278708.00,1572138021.71,x
Campeche,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,775558404.00,785476572.00,x
Campeche,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,550616053.00,555475951.00,x
Campeche,2018,EAM5,Fondo de Aportaciones Múltiples,382739746.00,352628160.00,x
Campeche,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,97839444.00,100133897.95,x
Campeche,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,130294016.00,136808717.00,x
Campeche,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,246691354.00,254842938.00,x
Campeche,2018,EAN,Convenios,1646401197.00,4736694213.29,x
Campeche,2018,EAN1,Convenios de Protección Social en Salud,300000000.00,307485502.53,x
Campeche,2018,EAN2,Convenios de Descentralización,1331401197.00,2818085624.91,x
Campeche,2018,EAN3,Convenios de Reasignación,15000000.00,0.00,x
Campeche,2018,EAN4,Otros Convenios y Subsidios,0.00,1611123085.85,x
Campeche,2018,EAO,Fondos Distintos de Aportaciones ,334900000.00,378613701.00,x
Campeche,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,334900000.00,378613701.00,x
Campeche,2018,EAO2,Fondo Minero,0.00,0.00,x
Campeche,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0.00,0.00,x
Campeche,2018,EAQ,Otras Transferencias Federales Etiquetadas,0.00,0.00,x
Campeche,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,9961961261.00,13161386798.41,x
Campeche,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0.00,1363638442.46,x
Campeche,2018,EAR1,Ingresos Derivados de Financiamientos,0.00,1363638442.46,x
Campeche,2018,EATOTAL,TOTAL DE LOS INGRESOS,19590991957.00,25667844981.98,x
Chiapas,2018,EAA,Impuestos,1477491677.00,1676446724.00,x
Chiapas,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0.00,0.00,x
Chiapas,2018,EAC,Contribuciones de Mejoras,0.00,0.00,x
Chiapas,2018,EAD,Derechos,1340168378.00,1256956627.00,x
Chiapas,2018,EAE,Productos,172203915.00,270329952.00,x
Chiapas,2018,EAF,Aprovechamientos,901460940.00,1784903284.00,x
Chiapas,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0.00,150010080.00,x
Chiapas,2018,EAH,Participaciones,29555404490.00,30822864977.00,x
Chiapas,2018,EAH1,Fondo General de Participaciones,24374887698.00,25668132088.00,x
Chiapas,2018,EAH2,Fondo de Fomento Municipal,783325935.00,819471094.00,x
Chiapas,2018,EAH3,Fondo de Fiscalización y Recaudación,1205230996.00,1217790338.00,x
Chiapas,2018,EAH4,Fondo de Compensación,721672726.00,701755264.00,x
Chiapas,2018,EAH5,Fondo de Extracción de hidrocarburos,84484260.00,80113529.00,x
Chiapas,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,198643015.00,199323234.00,x
Chiapas,2018,EAH7,0.136% de la Recaudación Federal Participable,0.00,0.00,x
Chiapas,2018,EAH8,3.17% Sobre Extracción de Petroleo,0.00,0.00,x
Chiapas,2018,EAH9,Gasolinas y Diésel,559245364.00,517658190.00,x
Chiapas,2018,EAH10,Fondo de Impuesto Sobre la Renta,1627914496.00,1618621240.00,x
Chiapas,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0.00,0.00,x
Chiapas,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,473133093.00,1192322188.00,x
Chiapas,2018,EAI1,Tenencia o Uso de Vehículos,1000.00,50505.00,x
Chiapas,2018,EAI2,Fondo de Compensación ISAN,39415188.00,39415188.00,x
Chiapas,2018,EAI3,Impuesto Sobre Automóviles Nuevos,159062247.00,149389551.00,x
Chiapas,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,61170096.00,46067797.00,x
Chiapas,2018,EAI5,Otros Incentivos Económicos,213484562.00,957399147.00,x
Chiapas,2018,EAJ,Transferencias,0.00,0.00,x
Chiapas,2018,EAK,Convenios,19069676.00,10018000.00,x
Chiapas,2018,EAK1,Otros Convenios y Subsidios,19069676.00,10018000.00,x
Chiapas,2018,EAL,Otros Ingresos de Libre Disposición ,0.00,0.00,x
Chiapas,2018,EAL1,Participaciones en Ingresos Locales,0.00,0.00,x
Chiapas,2018,EAL2,Otros Ingresos en Libre Disposición,0.00,0.00,x
Chiapas,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,33938932169.00,37163851832.00,x
Chiapas,2018,EAM,Aportaciones,42785528438.00,43580539678.00,x
Chiapas,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,18205808822.00,18751361268.00,x
Chiapas,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,4321768557.00,4424848185.00,x
Chiapas,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,12124448664.00,12124448664.00,x
Chiapas,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,3196165109.00,3196165109.00,x
Chiapas,2018,EAM5,Fondo de Aportaciones Múltiples,1508403326.00,1662689835.00,x
Chiapas,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,348845570.00,356607340.00,x
Chiapas,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,313382265.00,297713152.00,x
Chiapas,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,2766706125.00,2766706125.00,x
Chiapas,2018,EAN,Convenios,167003450.00,405251694.00,x
Chiapas,2018,EAN1,Convenios de Protección Social en Salud,0.00,0.00,x
Chiapas,2018,EAN2,Convenios de Descentralización,0.00,0.00,x
Chiapas,2018,EAN3,Convenios de Reasignación,167003450.00,346802709.00,x
Chiapas,2018,EAN4,Otros Convenios y Subsidios,0.00,58448985.00,x
Chiapas,2018,EAO,Fondos Distintos de Aportaciones ,131279333.00,137901332.00,x
Chiapas,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,131279333.00,137901332.00,x
Chiapas,2018,EAO2,Fondo Minero,0.00,0.00,x
Chiapas,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",12247578109.00,15913510870.00,x
Chiapas,2018,EAQ,Otras Transferencias Federales Etiquetadas,0.00,0.00,x
Chiapas,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,55331389330.00,60037203574.00,x
Chiapas,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0.00,4155639459.00,x
Chiapas,2018,EAR1,Ingresos Derivados de Financiamientos,0.00,4155639459.00,x
Chiapas,2018,EATOTAL,TOTAL DE LOS INGRESOS,89270321499.00,101356694865.00,x
Chihuahua,2018,EAA,Impuestos,4839495365.00,5097062568.00,x
Chihuahua,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0.00,0.00,x
Chihuahua,2018,EAC,Contribuciones de Mejoras,0.00,0.00,x
Chihuahua,2018,EAD,Derechos,5246583223.00,5593006980.00,x
Chihuahua,2018,EAE,Productos,257485008.00,252717343.00,x
Chihuahua,2018,EAF,Aprovechamientos,2299935053.00,2642660172.00,x
Chihuahua,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0.00,0.00,x
Chihuahua,2018,EAH,Participaciones,22726197126.00,23195878778.00,x
Chihuahua,2018,EAH1,Fondo General de Participaciones,17501495550.00,17924440308.00,x
Chihuahua,2018,EAH2,Fondo de Fomento Municipal,807569482.00,871130253.00,x
Chihuahua,2018,EAH3,Fondo de Fiscalización y Recaudación,982637422.00,1038894817.00,x
Chihuahua,2018,EAH4,Fondo de Compensación,0.00,0.00,x
Chihuahua,2018,EAH5,Fondo de Extracción de hidrocarburos,0.00,0.00,x
Chihuahua,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,565284734.00,435921958.00,x
Chihuahua,2018,EAH7,0.136% de la Recaudación Federal Participable,141258873.00,181950926.00,x
Chihuahua,2018,EAH8,3.17% Sobre Extracción de Petroleo,0.00,0.00,x
Chihuahua,2018,EAH9,Gasolinas y Diésel,947815824.00,811606969.00,x
Chihuahua,2018,EAH10,Fondo de Impuesto Sobre la Renta,1780135241.00,1931933547.00,x
Chihuahua,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0.00,0.00,x
Chihuahua,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,1331014262.00,1398177456.00,x
Chihuahua,2018,EAI1,Tenencia o Uso de Vehículos,1182235.00,1337330.00,x
Chihuahua,2018,EAI2,Fondo de Compensación ISAN,453008522.00,399248899.00,x
Chihuahua,2018,EAI3,Impuesto Sobre Automóviles Nuevos,0.00,0.00,x
Chihuahua,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,134230556.00,104503853.00,x
Chihuahua,2018,EAI5,Otros Incentivos Económicos,742592949.00,893087374.00,x
Chihuahua,2018,EAJ,Transferencias,0.00,0.00,x
Chihuahua,2018,EAK,Convenios,0.00,0.00,x
Chihuahua,2018,EAK1,Otros Convenios y Subsidios,0.00,0.00,x
Chihuahua,2018,EAL,Otros Ingresos de Libre Disposición ,0.00,0.00,x
Chihuahua,2018,EAL1,Participaciones en Ingresos Locales,0.00,0.00,x
Chihuahua,2018,EAL2,Otros Ingresos en Libre Disposición,0.00,0.00,x
Chihuahua,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,36700710037.00,38179503297.00,x
Chihuahua,2018,EAM,Aportaciones,20371663670.00,20547904725.00,x
Chihuahua,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,11688307645.00,11925893793.00,x
