Estado,Año,Código,Concepto,Aprobado,Devengado,
Campeche,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,334900000.00,378613701.00,
Campeche,2018,EAO2,Fondo Minero,0.00,0.00,
Campeche,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0.00,0.00,
Campeche,2018,EAQ,Otras Transferencias Federales Etiquetadas,0.00,0.00,
Campeche,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,9961961261.00,13161386798.41,
Campeche,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0.00,1363638442.46,
Campeche,2018,EAR1,Ingresos Derivados de Financiamientos,0.00,1363638442.46,
Campeche,2018,EATOTAL,TOTAL DE LOS INGRESOS,19590991957.00,25667844981.98,
Chiapas,2018,EAA,Impuestos,1477491677.00,1676446724.00,
Chiapas,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0.00,0.00,
Chiapas,2018,EAC,Contribuciones de Mejoras,0.00,0.00,
Chiapas,2018,EAD,Derechos,1340168378.00,1256956627.00,
Chiapas,2018,EAE,Productos,172203915.00,270329952.00,
Chiapas,2018,EAF,Aprovechamientos,901460940.00,1784903284.00,
Chiapas,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0.00,150010080.00,
Chiapas,2018,EAH,Participaciones,29555404490.00,30822864977.00,
Chiapas,2018,EAH1,Fondo General de Participaciones,24374887698.00,25668132088.00,
Chiapas,2018,EAH2,Fondo de Fomento Municipal,783325935.00,819471094.00,
Chiapas,2018,EAH3,Fondo de Fiscalización y Recaudación,1205230996.00,1217790338.00,
Chiapas,2018,EAH4,Fondo de Compensación,721672726.00,701755264.00,
Chiapas,2018,EAH5,Fondo de Extracción de hidrocarburos,84484260.00,80113529.00,
Chiapas,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,198643015.00,199323234.00,
Chiapas,2018,EAH7,0.136% de la Recaudación Federal Participable,0.00,0.00,
Chiapas,2018,EAH8,3.17% Sobre Extracción de Petroleo,0.00,0.00,
Chiapas,2018,EAH9,Gasolinas y Diésel,559245364.00,517658190.00,
Chiapas,2018,EAH10,Fondo de Impuesto Sobre la Renta,1627914496.00,1618621240.00,
Chiapas,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0.00,0.00,
Chiapas,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,473133093.00,1192322188.00,
Chiapas,2018,EAI1,Tenencia o Uso de Vehículos,1000.00,50505.00,
Chiapas,2018,EAI2,Fondo de Compensación ISAN,39415188.00,39415188.00,
Chiapas,2018,EAI3,Impuesto Sobre Automóviles Nuevos,159062247.00,149389551.00,
Chiapas,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,61170096.00,46067797.00,
Chiapas,2018,EAI5,Otros Incentivos Económicos,213484562.00,957399147.00,
Chiapas,2018,EAJ,Transferencias,0.00,0.00,
Chiapas,2018,EAK,Convenios,19069676.00,10018000.00,
Chiapas,2018,EAK1,Otros Convenios y Subsidios,19069676.00,10018000.00,
Chiapas,2018,EAL,Otros Ingresos de Libre Disposición ,0.00,0.00,
Chiapas,2018,EAL1,Participaciones en Ingresos Locales,0.00,0.00,
Chiapas,2018,EAL2,Otros Ingresos en Libre Disposición,0.00,0.00,
Chiapas,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,33938932169.00,37163851832.00,
Chiapas,2018,EAM,Aportaciones,42785528438.00,43580539678.00,
Chiapas,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,18205808822.00,18751361268.00,
Chiapas,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,4321768557.00,4424848185.00,
Chiapas,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,12124448664.00,12124448664.00,
Chiapas,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,3196165109.00,3196165109.00,
Chiapas,2018,EAM5,Fondo de Aportaciones Múltiples,1508403326.00,1662689835.00,
Chiapas,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,348845570.00,356607340.00,
Chiapas,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,313382265.00,297713152.00,
Chiapas,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,2766706125.00,2766706125.00,
Chiapas,2018,EAN,Convenios,167003450.00,405251694.00,
Chiapas,2018,EAN1,Convenios de Protección Social en Salud,0.00,0.00,
Chiapas,2018,EAN2,Convenios de Descentralización,0.00,0.00,
Chiapas,2018,EAN3,Convenios de Reasignación,167003450.00,346802709.00,
Chiapas,2018,EAN4,Otros Convenios y Subsidios,0.00,58448985.00,
Chiapas,2018,EAO,Fondos Distintos de Aportaciones ,131279333.00,137901332.00,
Chiapas,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,131279333.00,137901332.00,
Chiapas,2018,EAO2,Fondo Minero,0.00,0.00,
Chiapas,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",12247578109.00,15913510870.00,
Chiapas,2018,EAQ,Otras Transferencias Federales Etiquetadas,0.00,0.00,
Chiapas,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,55331389330.00,60037203574.00,
Chiapas,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0.00,4155639459.00,
Chiapas,2018,EAR1,Ingresos Derivados de Financiamientos,0.00,4155639459.00,
Chiapas,2018,EATOTAL,TOTAL DE LOS INGRESOS,89270321499.00,101356694865.00,
Chihuahua,2018,EAA,Impuestos,4839495365.00,5097062568.00,
Chihuahua,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0.00,0.00,
Chihuahua,2018,EAC,Contribuciones de Mejoras,0.00,0.00,
Chihuahua,2018,EAD,Derechos,5246583223.00,5593006980.00,
Chihuahua,2018,EAE,Productos,257485008.00,252717343.00,
Chihuahua,2018,EAF,Aprovechamientos,2299935053.00,2642660172.00,
Chihuahua,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0.00,0.00,
Chihuahua,2018,EAH,Participaciones,22726197126.00,23195878778.00,
Chihuahua,2018,EAH1,Fondo General de Participaciones,17501495550.00,17924440308.00,
Chihuahua,2018,EAH2,Fondo de Fomento Municipal,807569482.00,871130253.00,
Chihuahua,2018,EAH3,Fondo de Fiscalización y Recaudación,982637422.00,1038894817.00,
Chihuahua,2018,EAH4,Fondo de Compensación,0.00,0.00,
Chihuahua,2018,EAH5,Fondo de Extracción de hidrocarburos,0.00,0.00,
Chihuahua,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,565284734.00,435921958.00,
Chihuahua,2018,EAH7,0.136% de la Recaudación Federal Participable,141258873.00,181950926.00,
Chihuahua,2018,EAH8,3.17% Sobre Extracción de Petroleo,0.00,0.00,
Chihuahua,2018,EAH9,Gasolinas y Diésel,947815824.00,811606969.00,
Chihuahua,2018,EAH10,Fondo de Impuesto Sobre la Renta,1780135241.00,1931933547.00,
Chihuahua,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0.00,0.00,
Chihuahua,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,1331014262.00,1398177456.00,
Chihuahua,2018,EAI1,Tenencia o Uso de Vehículos,1182235.00,1337330.00,
Chihuahua,2018,EAI2,Fondo de Compensación ISAN,453008522.00,399248899.00,
Chihuahua,2018,EAI3,Impuesto Sobre Automóviles Nuevos,0.00,0.00,
Chihuahua,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,134230556.00,104503853.00,
Chihuahua,2018,EAI5,Otros Incentivos Económicos,742592949.00,893087374.00,
Chihuahua,2018,EAJ,Transferencias,0.00,0.00,
Chihuahua,2018,EAK,Convenios,0.00,0.00,
Chihuahua,2018,EAK1,Otros Convenios y Subsidios,0.00,0.00,
Chihuahua,2018,EAL,Otros Ingresos de Libre Disposición ,0.00,0.00,
Chihuahua,2018,EAL1,Participaciones en Ingresos Locales,0.00,0.00,
Chihuahua,2018,EAL2,Otros Ingresos en Libre Disposición,0.00,0.00,
Chihuahua,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,36700710037.00,38179503297.00,
Chihuahua,2018,EAM,Aportaciones,20371663670.00,20547904725.00,
Chihuahua,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,11688307645.00,11925893793.00,
Chihuahua,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,2601788520.00,2657398029.00,
Chihuahua,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,1409936265.00,1391436721.00,
Chihuahua,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,2228509014.00,2245282483.00,
Chihuahua,2018,EAM5,Fondo de Aportaciones Múltiples,682523055.00,608697086.00,
Chihuahua,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,221801959.00,243552494.00,
