Estado,Año,Concepto,Aprobado,Devengado
"Aguascalientes","2022","CENTRO DE CONCILIACIÓN LABORAL DEL ESTADO DE AGUASCALIENTES","19849200.00","20509200.00"
"Aguascalientes","2022","INSTITUTO DE PLANEACIÓN DEL ESTADO DE AGUASCALIENTES","65432000.00","40282392.80"
"Aguascalientes","2022","MUNICIPIO DE AGUASCALIENTES","2699706500.00","2680246284.34"
"Aguascalientes","2022","MUNICIPIO DE ASIENTOS","237673500.00","279396634.68"
"Aguascalientes","2022","MUNICIPIO DE CALVILLO","273930000.00","264120179.70"
"Aguascalientes","2022","MUNICIPIO DE COSÍO","109200600.00","116452195.02"
"Aguascalientes","2022","MUNICIPIO DE EL LLANO","179931100.00","186051807.76"
"Aguascalientes","2022","MUNICIPIO DE JESÚS MARÍA","401134700.00","474170045.63"
"Aguascalientes","2022","MUNICIPIO DE PABELLÓN DE ARTEAGA","173624700.00","198482828.98"
"Aguascalientes","2022","MUNICIPIO DE RINCÓN DE ROMOS","234495400.00","234078557.74"
"Aguascalientes","2022","MUNICIPIO DE SAN FRANCISCO DE LOS ROMO","198204400.00","210545317.49"
"Aguascalientes","2022","MUNICIPIO DE SAN JOSÉ DE GRACIA","125716700.00","154773194.21"
"Aguascalientes","2022","MUNICIPIO DE TEPEZALÁ","130714400.00","140092996.17"
"Aguascalientes","2022","INSTITUTO ESTATAL ELECTORAL","181464700.00","190464700.00"
"Aguascalientes","2022","COMISIÓN ESTATAL DE DERECHOS HUMANOS","20073700.00","20073700.00"
"Aguascalientes","2022","INSTITUTO DE TRANSPARENCIA DEL ESTADO DE AGUASCALIENTES","25712200.00","25712200.00"
"Aguascalientes","2022","ÓRGANO SUPERIOR DE FISCALIZACIÓN","39244200.00","46244200.00"
"Aguascalientes","2022","FISCALÍA GENERAL DEL ESTADO DE AGUASCALIENTES","544202300.00","571402300.00"
"Aguascalientes","2022","TRIBUNAL ELECTORAL DEL ESTADO","21055000.00","21055000.00"
"Aguascalientes","2022","SECRETARÍA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCIÓN","16791200.00","16791200.00"
"Aguascalientes","2022","FIDEICOMISOS PÚBLICOS","367281900.00","1299505478.52"
"Aguascalientes","2022","ENTIDAD O DELEGACIÓN FEDERAL","4836000.00","5337354.23"
"Aguascalientes","2022","SECRETARÍA DE LA FAMILIA","3067400.00","4143687.75"
"Aguascalientes","2022","INSTITUTO DE CIENCIA Y TECNOLOGIA DEL ESTADO DE AGUASCALIENTES","41414300.00","41434300.00"
"Aguascalientes","2022","SIGOD. SECRETARÍA DE INNOVACIÓN Y GOBIERNO DIGITAL","0.00","10671766.14"
"Aguascalientes","2022","CJEA. CONSEJERÍA JURÍDICA DEL ESTADO","0.00","2196443.62"
"Aguascalientes","2022","SECOGOV. SECRETARÍA DE COMUNICACIÓN Y VOCERÍA DEL GOBIERNO","0.00","17914568.06"
"Aguascalientes","2022","TOTAL DEL GASTO","26616733000.00","29198808233.06"
"Aguascalientes","2021","PODER LEGISLATIVO","206084000.00","238867000.00"
"Aguascalientes","2021","PODER JUDICIAL","504000000.00","542021000.00"
"Aguascalientes","2021","DESPACHO DEL EJECUTIVO ESTATAL","121559000.00","136675000.00"
"Aguascalientes","2021","COORDINACIÓN GENERAL DE GABINETE","17733000.00","16792000.00"
"Aguascalientes","2021","SECRETARÍA GENERAL DE GOBIERNO","473835000.00","419134000.00"
"Aguascalientes","2021","SECRETARÍA DE SEGURIDAD PÚBLICA","1105568000.00","834052000.00"
"Aguascalientes","2021","SECRETARÍA DE FINANZAS","472954000.00","269232000.00"
"Aguascalientes","2021","SECRETARÍA DE DESARROLLO ECONÓMICO","128406000.00","126442000.00"
"Aguascalientes","2021","SECRETARÍA DE SALUD","1189000.00","138000.00"
"Aguascalientes","2021","SECRETARÍA DE SUSTENTABILIDAD, MEDIO AMBIENTE Y AGUA","122131000.00","95643000.00"
"Aguascalientes","2021","SECRETARÍA DE GESTIÓN URBANÍSTICA, ORDENAMIENTO TERRITORIAL, REGISTRAL Y CATASTRAL","89720000.00","97954000.00"
"Aguascalientes","2021","SECRETARÍA DE DESARROLLO SOCIAL","187676000.00","211114000.00"
"Aguascalientes","2021","SECRETARÍA DE OBRAS PÚBLICAS","736657000.00","2083323000.00"
"Aguascalientes","2021","SECRETARÍA DE DESARROLLO RURAL Y AGROEMPRESARIAL","160761000.00","158532000.00"
"Aguascalientes","2021","SECRETARÍA DE TURISMO","95286000.00","96394000.00"
"Aguascalientes","2021","COORDINACIÓN GENERAL DE PLANEACIÓN Y PROYECTOS","35853000.00","12989000.00"
"Aguascalientes","2021","SECRETARÍA DE ADMINISTRACIÓN","160961000.00","145571000.00"
"Aguascalientes","2021","CONTRALORÍA DEL ESTADO","53463000.00","53955000.00"
"Aguascalientes","2021","COORDINACIÓN GENERAL DE MOVILIDAD","233148000.00","101237000.00"
"Aguascalientes","2021","INSTITUTO ESTATAL DE SEGURIDAD PÚBLICA DE AGUASCALIENTES","19570000.00","19570000.00"
"Aguascalientes","2021","SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA","306267000.00","315666000.00"
"Aguascalientes","2021","INSTITUTO DE ASESORÍA Y DEFENSORÍA PÚBLICA DEL ESTADO DE AGUASCALIENTES","29639000.00","29639000.00"
"Aguascalientes","2021","INSTITUTO AGUASCALENTENSE DE LAS MUJERES","13556000.00","23389000.00"
"Aguascalientes","2021","INSTITUTO AGUASCALENTENSE DE LA JUVENTUD","16517000.00","16517000.00"
"Aguascalientes","2021","INSTITUTO DE VIVIENDA SOCIAL Y ORDENAMIENTO DE LA PROPIEDAD DEL ESTADO","0.00","28370000.00"
"Aguascalientes","2021","PROCURADURÍA ESTATAL DE PROTECCIÓN AL AMBIENTE","6520000.00","6520000.00"
"Aguascalientes","2021","INSTITUTO DEL AGUA DEL ESTADO","208650000.00","348526000.00"
"Aguascalientes","2021","INSTITUTO PARA EL DESARROLLO DE LA SOCIEDAD DEL CONOCIMIENTO DEL ESTADO DE AGUASCALIENTES","40208000.00","40208000.00"
"Aguascalientes","2021","PATRONATO DE LA FERIA NACIONAL DE SAN MARCOS","3600000.00","20525000.00"
"Aguascalientes","2021","INSTITUTO DE EDUCACIÓN DE AGUASCALIENTES","7555186000.00","7315544000.00"
"Aguascalientes","2021","COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE AGUASCALIENTES.","320000000.00","351118000.00"
"Aguascalientes","2021","ESCUELA NORMAL DE AGUASCALIENTES","20225000.00","20225000.00"
"Aguascalientes","2021","INSTITUTO PARA LA EDUCACIÓN DE LAS PERSONAS JÓVENES Y ADULTAS DEL ESTADO DE AGUASCALIENTES","66847000.00","70691000.00"
"Aguascalientes","2021","COLEGIO DE EDUCACIÓN PROFESIONAL TÉCNICA DEL ESTADO DE AGUASCALIENTES.","96325000.00","104061000.00"
"Aguascalientes","2021","UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES","1304299000.00","1352331000.00"
"Aguascalientes","2021","UNIVERSIDAD TECNOLÓGICA DE AGUASCALIENTES","103555000.00","110929000.00"
"Aguascalientes","2021","UNIVERSIDAD TECNOLÓGICA DEL NORTE DE AGUASCALIENTES","65117000.00","70000000.00"
"Aguascalientes","2021","UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES","54000000.00","62011000.00"
"Aguascalientes","2021","INSTITUTOS TECNOLOGICOS DEL ESTADO DE AGUASCALIENTES","0.00","13201000.00"
"Aguascalientes","2021","INSTITUTO CULTURAL DE AGUASCALIENTES","242474000.00","250937000.00"
"Aguascalientes","2021","INSTITUTO DEL DEPORTE DEL ESTADO DE AGUASCALIENTES","171407000.00","245300000.00"
"Aguascalientes","2021","RADIO Y TELEVISIÓN DE AGUASCALIENTES","46490000.00","53250000.00"
"Aguascalientes","2021","UNIVERSIDAD TECNOLÓGICA METROPOLITANA DE AGUASCALIENTES","13625000.00","27177000.00"
"Aguascalientes","2021","INSTITUTO DE CAPACITACIÓN PARA EL TRABAJO DEL ESTADO DE AGUASCALIENTES","55000000.00","59224000.00"
"Aguascalientes","2021","INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES","3344985000.00","3518614000.00"
"Aguascalientes","2021","COMISIÓN ESTATAL DE ARBITRAJE MEDICO","5351000.00","5841000.00"
"Aguascalientes","2021","UNIVERSIDAD TECNOLÓGICA EL RETOÑO","31562000.00","33764000.00"
"Aguascalientes","2021","UNIVERSIDAD TECNOLÓGICA DE CALVILLO","16352000.00","17423000.00"
"Aguascalientes","2021","INSTITUTO DE INFRAESTRUCTURA FÍSICA EDUCATIVA DEL ESTADO DE AGUASCALIENTES.","228112000.00","219960000.00"
"Aguascalientes","2021","CENTRO DE CONCILIACIÓN LABORAL DEL ESTADO DE AGUASCALIENTES","0.00","6641690.00"
"Aguascalientes","2021","INSTITUTO DE PLANEACIÓN DEL ESTADO DE AGUASCALIENTES","0.00","26980910.00"
"Aguascalientes","2021","MUNICIPIO DE AGUASCALIENTES","2398813000.00","2479766000.00"
"Aguascalientes","2021","MUNICIPIO DE ASIENTOS","173471000.00","216587000.00"
"Aguascalientes","2021","MUNICIPIO DE CALVILLO","221903000.00","258021000.00"
"Aguascalientes","2021","MUNICIPIO DE COSÍO","108053000.00","104917000.00"
"Aguascalientes","2021","MUNICIPIO DE EL LLANO","111455000.00","145349000.00"
"Aguascalientes","2021","MUNICIPIO DE JESÚS MARÍA","342397000.00","355441000.00"
"Aguascalientes","2021","MUNICIPIO DE PABELLÓN DE ARTEAGA","156666000.00","171410000.00"
"Aguascalientes","2021","MUNICIPIO DE RINCÓN DE ROMOS","191611000.00","198801000.00"
"Aguascalientes","2021","MUNICIPIO DE SAN FRANCISCO DE LOS ROMO","159137000.00","174923000.00"
"Aguascalientes","2021","MUNICIPIO DE SAN JOSÉ DE GRACIA","175143000.00","147917000.00"
"Aguascalientes","2021","MUNICIPIO DE TEPEZALÁ","109219000.00","116308000.00"
"Aguascalientes","2021","INSTITUTO ESTATAL ELECTORAL","158938000.00","177438000.00"
"Aguascalientes","2021","COMISIÓN ESTATAL DE DERECHOS HUMANOS","19489000.00","19489000.00"
"Aguascalientes","2021","INSTITUTO DE TRANSPARENCIA DEL ESTADO DE AGUASCALIENTES","23070000.00","23070000.00"
"Aguascalientes","2021","ÓRGANO SUPERIOR DE FISCALIZACIÓN","32273000.00","37273000.00"
"Aguascalientes","2021","FISCALÍA GENERAL DEL ESTADO DE AGUASCALIENTES","493976000.00","518976000.00"
"Aguascalientes","2021","TRIBUNAL ELECTORAL DEL ESTADO","18500000.00","21000000.00"
"Aguascalientes","2021","SECRETARÍA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCIÓN","16205000.00","16205000.00"
"Aguascalientes","2021","FIDEICOMISOS PÚBLICOS","332546000.00","549880000.00"
"Aguascalientes","2021","ORGANISMOS NO GUBERNAMENTALES","51493000.00","59493000.00"
"Aguascalientes","2021","ENTIDAD O DELEGACIÓN FEDERAL","4743000.00","5920000.00"
"Aguascalientes","2021","PREVISIONES ECONÓMICAS","138463000.00","0.00"
"Aguascalientes","2021","DEUDA PÚBLICA","378693000.00","329244000.00"
"Aguascalientes","2021","TOTAL DEL GASTO","25108680000.00","26551646600.00"
"Aguascalientes","2020","PODER LEGISLATIVO","199755000.00","223755000.00"
"Aguascalientes","2020","PODER JUDICIAL","460000000.00","478684000.00"
"Aguascalientes","2020","DESPACHO DEL EJECUTIVO ESTATAL","123354000.00","133868010.00"
"Aguascalientes","2020","COORDINACIÓN GENERAL DE GABINETE","17181000.00","15522290.00"
"Aguascalientes","2020","SECRETARÍA GENERAL DE GOBIERNO","461533000.00","465802490.00"
"Aguascalientes","2020","SECRETARÍA DE SEGURIDAD PÚBLICA","1316934000.00","1006269370.00"
"Aguascalientes","2020","SECRETARÍA DE FINANZAS","560876000.00","212213070.00"
"Aguascalientes","2020","SECRETARÍA DE DESARROLLO ECONÓMICO","110030000.00","175442930.00"
"Aguascalientes","2020","SECRETARÍA DE SALUD","1184000.00","64000.00"
"Aguascalientes","2020","SECRETARÍA DE SUSTENTABILIDAD, MEDIO AMBIENTE Y AGUA","318791000.00","117396570.00"
"Aguascalientes","2020","SECRETARÍA DE GESTIÓN URBANÍSTICA, ORDENAMIENTO TERRITORIAL, REGISTRAL Y CATASTRAL","84216000.00","87332730.00"
"Aguascalientes","2020","SECRETARÍA DE DESARROLLO SOCIAL","178511000.00","160250300.00"
"Aguascalientes","2020","SECRETARÍA DE OBRAS PÚBLICAS","694232000.00","730924970.00"
"Aguascalientes","2020","SECRETARÍA DE DESARROLLO RURAL Y AGROEMPRESARIAL","166771000.00","155521630.00"
"Aguascalientes","2020","SECRETARÍA DE TURISMO","81218000.00","58616770.00"
"Aguascalientes","2020","COORDINACIÓN GENERAL DE PLANEACIÓN Y PROYECTOS","45924000.00","33531950.00"
"Aguascalientes","2020","SECRETARÍA DE ADMINISTRACIÓN","167855000.00","155936200.00"
"Aguascalientes","2020","CONTRALORÍA DEL ESTADO","46570000.00","45285750.00"
"Aguascalientes","2020","COORDINACIÓN GENERAL DE MOVILIDAD","411547000.00","144415940.00"
"Aguascalientes","2020","INSTITUTO ESTATAL DE SEGURIDAD PÚBLICA DE AGUASCALIENTES","19570000.00","56621380.00"
"Aguascalientes","2020","SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA","304424000.00","306741770.00"
"Aguascalientes","2020","INSTITUTO DE ASESORÍA Y DEFENSORÍA PÚBLICA DEL ESTADO DE AGUASCALIENTES","32639000.00","29950140.00"
"Aguascalientes","2020","INSTITUTO AGUASCALENTENSE DE LAS MUJERES","19838000.00","21794530.00"
"Aguascalientes","2020","INSTITUTO AGUASCALENTENSE DE LA JUVENTUD","16517000.00","16229110.00"
"Aguascalientes","2020","PROCURADURÍA ESTATAL DE PROTECCIÓN AL AMBIENTE","6520000.00","4349400.00"
"Aguascalientes","2020","INSTITUTO DEL AGUA DEL ESTADO","0.00","318396760.00"
"Aguascalientes","2020","INSTITUTO PARA EL DESARROLLO DE LA SOCIEDAD DEL CONOCIMIENTO DEL ESTADO DE AGUASCALIENTES","40208000.00","37187200.00"
"Aguascalientes","2020","PATRONATO DE LA FERIA NACIONAL DE SAN MARCOS","0.00","33459090.00"
"Aguascalientes","2020","INSTITUTO DE EDUCACIÓN DE AGUASCALIENTES","7152328000.00","7249323040.00"
"Aguascalientes","2020","COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE AGUASCALIENTES.","310153000.00","339164680.00"
"Aguascalientes","2020","ESCUELA NORMAL DE AGUASCALIENTES","20225000.00","20225000.00"
"Aguascalientes","2020","INSTITUTO PARA LA EDUCACIÓN DE LAS PERSONAS JÓVENES Y ADULTAS DEL ESTADO DE AGUASCALIENTES","68881000.00","72069840.00"
"Aguascalientes","2020","COLEGIO DE EDUCACIÓN PROFESIONAL TÉCNICA DEL ESTADO DE AGUASCALIENTES.","87799000.00","89377440.00"
"Aguascalientes","2020","UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES","1297870000.00","1332931960.00"
"Aguascalientes","2020","UNIVERSIDAD TECNOLÓGICA DE AGUASCALIENTES","106348000.00","112337070.00"
"Aguascalientes","2020","UNIVERSIDAD TECNOLÓGICA DEL NORTE DE AGUASCALIENTES","68250000.00","70222660.00"
"Aguascalientes","2020","UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES","52700000.00","58642450.00"
"Aguascalientes","2020","INSTITUTOS TECNOLOGICOS DEL ESTADO DE AGUASCALIENTES","0.00","5000000.00"
"Aguascalientes","2020","INSTITUTO CULTURAL DE AGUASCALIENTES","242474000.00","254687590.00"
"Aguascalientes","2020","INSTITUTO DEL DEPORTE DEL ESTADO DE AGUASCALIENTES","170407000.00","174827920.00"
"Aguascalientes","2020","RADIO Y TELEVISIÓN DE AGUASCALIENTES","36490000.00","48816670.00"
"Aguascalientes","2020","UNIVERSIDAD TECNOLÓGICA METROPOLITANA DE AGUASCALIENTES","6996000.00","12115230.00"
"Aguascalientes","2020","INSTITUTO DE CAPACITACIÓN PARA EL TRABAJO DEL ESTADO DE AGUASCALIENTES","45947000.00","53594210.00"
"Aguascalientes","2020","INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES","2836672000.00","3534105920.00"
"Aguascalientes","2020","COMISIÓN ESTATAL DE ARBITRAJE MEDICO","5351000.00","5351000.00"
"Aguascalientes","2020","UNIVERSIDAD TECNOLÓGICA EL RETOÑO","32743000.00","33261730.00"
"Aguascalientes","2020","UNIVERSIDAD TECNOLÓGICA DE CALVILLO","16668000.00","18141350.00"
"Aguascalientes","2020","RÉGIMEN ESTATAL DE PROTECCIÓN SOCIAL EN SALUD DEL ESTADO DE AGUASCALIENTES","429571000.00","32404170.00"
"Aguascalientes","2020","INSTITUTO DE INFRAESTRUCTURA FÍSICA EDUCATIVA DEL ESTADO DE AGUASCALIENTES.","311673000.00","218143430.00"
"Aguascalientes","2020","MUNICIPIO DE AGUASCALIENTES","2376673000.00","2494191260.00"
"Aguascalientes","2020","MUNICIPIO DE ASIENTOS","154564000.00","183851720.00"
"Aguascalientes","2020","MUNICIPIO DE CALVILLO","205113000.00","231100310.00"
"Aguascalientes","2020","MUNICIPIO DE COSÍO","118354000.00","113459120.00"
"Aguascalientes","2020","MUNICIPIO DE EL LLANO","144933000.00","131085920.00"
"Aguascalientes","2020","MUNICIPIO DE JESÚS MARÍA","328492000.00","346598270.00"
"Aguascalientes","2020","MUNICIPIO DE PABELLÓN DE ARTEAGA","165793000.00","163399820.00"
"Aguascalientes","2020","MUNICIPIO DE RINCÓN DE ROMOS","175200000.00","200309890.00"
"Aguascalientes","2020","MUNICIPIO DE SAN FRANCISCO DE LOS ROMO","166530000.00","172188920.00"
"Aguascalientes","2020","MUNICIPIO DE SAN JOSÉ DE GRACIA","104465000.00","146378940.00"
"Aguascalientes","2020","MUNICIPIO DE TEPEZALÁ","100012000.00","108818900.00"
"Aguascalientes","2020","INSTITUTO ESTATAL ELECTORAL","96516000.00","96516000.00"
"Aguascalientes","2020","COMISIÓN ESTATAL DE DERECHOS HUMANOS","19489000.00","19489000.00"
"Aguascalientes","2020","INSTITUTO DE TRANSPARENCIA DEL ESTADO DE AGUASCALIENTES","23070000.00","23070000.00"
"Aguascalientes","2020","ÓRGANO SUPERIOR DE FISCALIZACIÓN","31032000.00","31032000.00"
"Aguascalientes","2020","FISCALÍA GENERAL DEL ESTADO DE AGUASCALIENTES","474977000.00","512386770.00"
"Aguascalientes","2020","TRIBUNAL ELECTORAL DEL ESTADO","15805000.00","15805000.00"
"Aguascalientes","2020","SECRETARÍA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCIÓN","15205000.00","14396050.00"
"Aguascalientes","2020","FIDEICOMISOS PÚBLICOS","804351000.00","752444320.00"
"Aguascalientes","2020","ORGANISMOS NO GUBERNAMENTALES","51493000.00","48493000.00"
"Aguascalientes","2020","ENTIDAD O DELEGACIÓN FEDERAL","4043000.00","5385950.00"
"Aguascalientes","2020","PREVISIONES ECONÓMICAS","160000000.00","0.00"
"Aguascalientes","2020","DEUDA PÚBLICA","473050000.00","409587130.00"
"Aguascalientes","2020","TOTAL DEL GASTO","25394904000.00","25180295000.00"
"Aguascalientes","2019","PODER LEGISLATIVO","193000000.00","209500000.00"
"Aguascalientes","2019","PODER JUDICIAL","420000000.00","430000000.00"
"Aguascalientes","2019","DESPACHO DEL EJECUTIVO ESTATAL","114432000.00","121070061.67"
"Aguascalientes","2019","COORDINACIÓN GENERAL DE GABINETE","15160000.00","14938614.29"
"Aguascalientes","2019","SECRETARÍA GENERAL DE GOBIERNO","376356000.00","362750091.52"
"Aguascalientes","2019","SECRETARÍA DE SEGURIDAD PÚBLICA","937076000.00","842867466.86"
"Aguascalientes","2019","SECRETARÍA DE FINANZAS","452225000.00","235069041.04"
"Aguascalientes","2019","SECRETARÍA DE DESARROLLO ECONÓMICO","99591000.00","85428746.24"
"Aguascalientes","2019","SECRETARÍA DE SALUD","1119000.00","0.00"
"Aguascalientes","2019","SECRETARÍA DE SUSTENTABILIDAD, MEDIO AMBIENTE Y AGUA","409514000.00","457712556.61"
"Aguascalientes","2019","SECRETARÍA DE GESTIÓN URBANÍSTICA, ORDENAMIENTO TERRITORIAL, REGISTRAL Y CATASTRAL","83528000.00","75702317.19"
"Aguascalientes","2019","SECRETARÍA DE DESARROLLO SOCIAL","144972000.00","166580289.46"
"Aguascalientes","2019","SECRETARÍA DE OBRAS PÚBLICAS","1765493000.00","1025996742.99"
"Aguascalientes","2019","SECRETARÍA DE DESARROLLO RURAL Y AGROEMPRESARIAL","163933000.00","165020739.86"
"Aguascalientes","2019","SECRETARÍA DE TURISMO","56527000.00","55455066.84"
"Aguascalientes","2019","COORDINACIÓN GENERAL DE PLANEACIÓN Y PROYECTOS","30700000.00","38654971.75"
"Aguascalientes","2019","SECRETARÍA DE ADMINISTRACIÓN","140994000.00","137659647.71"
"Aguascalientes","2019","CONTRALORÍA DEL ESTADO","41418000.00","40395936.08"
"Aguascalientes","2019","COORDINACIÓN GENERAL DE MOVILIDAD","1034865000.00","144516499.36"
"Aguascalientes","2019","INSTITUTO ESTATAL DE SEGURIDAD PÚBLICA DE AGUASCALIENTES","19000000.00","19750000.00"
"Aguascalientes","2019","SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA","278583000.00","293747580.00"
"Aguascalientes","2019","INSTITUTO DE ASESORÍA Y DEFENSORÍA PÚBLICA DEL ESTADO DE AGUASCALIENTES","25863000.00","25980000.00"
"Aguascalientes","2019","INSTITUTO AGUASCALENTENSE DE LAS MUJERES","11705000.00","20634510.00"
"Aguascalientes","2019","INSTITUTO AGUASCALENTENSE DE LA JUVENTUD","16060000.00","15550000.00"
"Aguascalientes","2019","INSTITUTO DE VIVIENDA SOCIAL Y ORDENAMIENTO DE LA PROPIEDAD DEL ESTADO","0.00","52049410.00"
