Municipio,Año,Código,Concepto,Aprobado,Devengado,
Acapulco de Juarez,2021,COG34,"Servicios Financieros, Bancarios y Comerciales",10076000.04,10837790.04,
Acapulco de Juarez,2021,COG35,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",233236432.88,104673853.63,
Acapulco de Juarez,2021,COG36,Servicios de Comunicación Social y Publicidad,34359799.96,15831313.34,
Acapulco de Juarez,2021,COG37,Servicios de Traslados y Viáticos,3085388.88,785869.71,
Acapulco de Juarez,2021,COG38,Servicios Oficiales,4851501.09,11527781.63,
Acapulco de Juarez,2021,COG39,Otros Servicios Generales,89371102.45,203658013.41,
Acapulco de Juarez,2021,COG04,"Transferencias, Asignaciones, Subsidios y Otras Ayudas",232518776.24,214210814.02,
Acapulco de Juarez,2021,COG41,Transferencias Internas y Asignaciones del Sector Público,0.00,0.00,
Acapulco de Juarez,2021,COG42,Transferencias al Resto del Sector Público,98500000.00,114053902.94,
Acapulco de Juarez,2021,COG43,Subsidios y Subvenciones,1719999.00,10437038.99,
Acapulco de Juarez,2021,COG44,Ayudas Sociales,132298777.24,89719872.09,
Acapulco de Juarez,2021,COG45,Pensiones y Jubilaciones,0.00,0.00,
Acapulco de Juarez,2021,COG46,"Transferencias a Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,
Acapulco de Juarez,2021,COG47,Transferencias a la Seguridad Social,0.00,0.00,
Acapulco de Juarez,2021,COG48,Donativos,0.00,0.00,
Acapulco de Juarez,2021,COG49,Transferencias al Exterior,0.00,0.00,
Acapulco de Juarez,2021,COG05,"Bienes Muebles, Inmuebles e Intangibles",66632650.00,19605543.50,
Acapulco de Juarez,2021,COG51,Mobiliario y Equipo de Administración,43170000.04,3093773.61,
Acapulco de Juarez,2021,COG52,Mobiliario y Equipo Educacional y Recreativo,524650.04,321900.00,
Acapulco de Juarez,2021,COG53,Equipo e Instrumental Médico y de Laboratorio,4479999.96,5064305.13,
Acapulco de Juarez,2021,COG54,Vehículos y Equipo de Transporte,1312000.00,0.00,
Acapulco de Juarez,2021,COG55,Equipo de Defensa y Seguridad,0.00,0.00,
Acapulco de Juarez,2021,COG56,"Maquinaria, Otros Equipos y Herramientas",6645999.92,930564.76,
Acapulco de Juarez,2021,COG57,Activos Biológicos,500000.04,0.00,
Acapulco de Juarez,2021,COG58,Bienes Inmuebles,0.00,0.00,
Acapulco de Juarez,2021,COG59,Activos Intangibles,10000000.00,10195000.00,
Acapulco de Juarez,2021,COG06,Inversión Pública                  ,600420978.28,677094480.00,
Acapulco de Juarez,2021,COG61,Obra Pública en Bienes de Dominio Público,599820978.28,677094480.00,
Acapulco de Juarez,2021,COG62,Obra Pública en Bienes Propios,600000.00,0.00,
Acapulco de Juarez,2021,COG63,Proyectos Productivos y Acciones de Fomento,0.00,0.00,
Acapulco de Juarez,2021,COG07,Inversiones Financieras y Otras Provisiones,0.00,0.00,
Acapulco de Juarez,2021,COG71,Inversiones para el Fomento de Actividades Productivas,0.00,0.00,
Acapulco de Juarez,2021,COG72,Acciones y Participaciones de Capital,0.00,0.00,
Acapulco de Juarez,2021,COG73,Compra de Títulos y Valores,0.00,0.00,
Acapulco de Juarez,2021,COG74,Concesión de Préstamos,0.00,0.00,
Acapulco de Juarez,2021,COG75,"Inversiones de Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,
Acapulco de Juarez,2021,COG76,Otras Inversiones Financieras,0.00,0.00,
Acapulco de Juarez,2021,COG78,Provisiones para Contingencias y Otras Erogaciones Especiales,0.00,0.00,
Acapulco de Juarez,2021,COG08,Participaciones y Aportaciones     ,0.00,0.00,
Acapulco de Juarez,2021,COG81,Participaciones,0.00,0.00,
Acapulco de Juarez,2021,COG82,Aportaciones,0.00,0.00,
Acapulco de Juarez,2021,COG83,Convenios,0.00,0.00,
Acapulco de Juarez,2021,COG09,Deuda Pública                      ,286028135.09,326141225.78,
Acapulco de Juarez,2021,COG91,Amortización de la Deuda Pública,144999999.96,227321821.00,
Acapulco de Juarez,2021,COG92,Intereses de la Deuda Pública,35000000.09,28893313.00,
Acapulco de Juarez,2021,COG93,Comisiones de la Deuda Pública,0.00,0.00,
Acapulco de Juarez,2021,COG94,Gastos de la Deuda Pública,0.00,0.00,
Acapulco de Juarez,2021,COG95,Costo por Coberturas,0.00,0.00,
Acapulco de Juarez,2021,COG96,Apoyos Financieros,0.00,0.00,
Acapulco de Juarez,2021,COG97,Adeudos de Ejercicios Fiscales Anteriores (ADEFAS)1,106028135.04,69926091.78,
Acapulco de Juarez,2021,COGTOT,Total del Gasto,3851690898.81,3948534688.67,
Aguascalientes,2021,COG01, Servicios Personales               ,1687461626.00,1727979364.00,
Aguascalientes,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,710642203.00,761663460.00,
Aguascalientes,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,61528888.00,68093281.00,
Aguascalientes,2021,COG13,Remuneraciones Adicionales y Especiales,316914432.00,334258083.00,
Aguascalientes,2021,COG14,Seguridad Social,517633492.00,535882820.00,
Aguascalientes,2021,COG15,Otras Prestaciones Sociales y Económicas,63513661.00,25119019.00,
Aguascalientes,2021,COG16,Previsiones,10819037.00,0.00,
Aguascalientes,2021,COG17,Pago de Estímulos a Servidores Públicos,6409913.00,2962701.00,
Aguascalientes,2021,COG02,Materiales y Suministros           ,558203038.00,557884062.00,
Aguascalientes,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",17782801.00,27718123.00,
Aguascalientes,2021,COG22,Alimentos y Utensilios,17880814.00,11591838.00,
Aguascalientes,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,0.00,16126.00,
Aguascalientes,2021,COG24,Materiales y Artículos de Construcción y Reparación,39297041.00,48615717.00,
Aguascalientes,2021,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",18351073.00,42550639.00,
Aguascalientes,2021,COG26,"Combustibles, Lubricantes y Aditivos",338731454.00,297207747.00,
Aguascalientes,2021,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",30792097.00,21966607.00,
Aguascalientes,2021,COG28,Materiales y Suministros para Seguridad,0.00,44866.00,
Aguascalientes,2021,COG29,"Herramientas, Refacciones y Accesorios Menores",95367758.00,108172399.00,
Aguascalientes,2021,COG03,Servicios Generales                ,635197173.00,819646516.00,
Aguascalientes,2021,COG31,Servicios Básicos,157118853.00,275985368.00,
Aguascalientes,2021,COG32,Servicios de Arrendamiento,24019378.00,62725246.00,
Aguascalientes,2021,COG33,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",38612791.00,48040110.00,
Aguascalientes,2021,COG34,"Servicios Financieros, Bancarios y Comerciales",57194333.00,46368253.00,
Aguascalientes,2021,COG35,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",224415885.00,183747980.00,
Aguascalientes,2021,COG36,Servicios de Comunicación Social y Publicidad,72075278.00,66747986.00,
Aguascalientes,2021,COG37,Servicios de Traslados y Viáticos,2443564.00,1130043.00,
Aguascalientes,2021,COG38,Servicios Oficiales,25697787.00,10380842.00,
Aguascalientes,2021,COG39,Otros Servicios Generales,33619304.00,124520688.00,
Aguascalientes,2021,COG04,"Transferencias, Asignaciones, Subsidios y Otras Ayudas",332459470.00,393356668.00,
Aguascalientes,2021,COG41,Transferencias Internas y Asignaciones del Sector Público,0.00,0.00,
Aguascalientes,2021,COG42,Transferencias al Resto del Sector Público,215121252.00,220006874.00,
Aguascalientes,2021,COG43,Subsidios y Subvenciones,9200000.00,9311000.00,
Aguascalientes,2021,COG44,Ayudas Sociales,71883218.00,129364088.00,
Aguascalientes,2021,COG45,Pensiones y Jubilaciones,0.00,0.00,
Aguascalientes,2021,COG46,"Transferencias a Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,
Aguascalientes,2021,COG47,Transferencias a la Seguridad Social,33255000.00,29391339.00,
Aguascalientes,2021,COG48,Donativos,3000000.00,5283367.00,
Aguascalientes,2021,COG49,Transferencias al Exterior,0.00,0.00,
Aguascalientes,2021,COG05,"Bienes Muebles, Inmuebles e Intangibles",10233314.00,58455435.00,
Aguascalientes,2021,COG51,Mobiliario y Equipo de Administración,5433314.00,3784631.00,
Aguascalientes,2021,COG52,Mobiliario y Equipo Educacional y Recreativo,0.00,115929.00,
Aguascalientes,2021,COG53,Equipo e Instrumental Médico y de Laboratorio,0.00,90077.00,
Aguascalientes,2021,COG54,Vehículos y Equipo de Transporte,0.00,33677932.00,
Aguascalientes,2021,COG55,Equipo de Defensa y Seguridad,0.00,7164076.00,
Aguascalientes,2021,COG56,"Maquinaria, Otros Equipos y Herramientas",0.00,8776860.00,
Aguascalientes,2021,COG57,Activos Biológicos,0.00,0.00,
Aguascalientes,2021,COG58,Bienes Inmuebles,0.00,483793.00,
Aguascalientes,2021,COG59,Activos Intangibles,4800000.00,4362137.00,
Aguascalientes,2021,COG06,Inversión Pública                  ,265492454.00,254445484.00,
Aguascalientes,2021,COG61,Obra Pública en Bienes de Dominio Público,265492454.00,254445484.00,
Aguascalientes,2021,COG62,Obra Pública en Bienes Propios,0.00,0.00,
Aguascalientes,2021,COG63,Proyectos Productivos y Acciones de Fomento,0.00,0.00,
Aguascalientes,2021,COG07,Inversiones Financieras y Otras Provisiones,48250000.00,4672693.00,
Aguascalientes,2021,COG71,Inversiones para el Fomento de Actividades Productivas,0.00,0.00,
Aguascalientes,2021,COG72,Acciones y Participaciones de Capital,0.00,0.00,
Aguascalientes,2021,COG73,Compra de Títulos y Valores,0.00,0.00,
Aguascalientes,2021,COG74,Concesión de Préstamos,0.00,0.00,
Aguascalientes,2021,COG75,"Inversiones de Fideicomisos, Mandatos y Otros Análogos",0.00,4672693.00,
Aguascalientes,2021,COG76,Otras Inversiones Financieras,0.00,0.00,
Aguascalientes,2021,COG78,Provisiones para Contingencias y Otras Erogaciones Especiales,48250000.00,0.00,
Aguascalientes,2021,COG08,Participaciones y Aportaciones     ,0.00,0.00,
Aguascalientes,2021,COG81,Participaciones,0.00,0.00,
Aguascalientes,2021,COG82,Aportaciones,0.00,0.00,
Aguascalientes,2021,COG83,Convenios,0.00,0.00,
Aguascalientes,2021,COG09,Deuda Pública                      ,90699925.00,0.00,
Aguascalientes,2021,COG91,Amortización de la Deuda Pública,0.00,0.00,
Aguascalientes,2021,COG92,Intereses de la Deuda Pública,0.00,0.00,
Aguascalientes,2021,COG93,Comisiones de la Deuda Pública,0.00,0.00,
Aguascalientes,2021,COG94,Gastos de la Deuda Pública,0.00,0.00,
Aguascalientes,2021,COG95,Costo por Coberturas,0.00,0.00,
Aguascalientes,2021,COG96,Apoyos Financieros,0.00,0.00,
Aguascalientes,2021,COG97,Adeudos de Ejercicios Fiscales Anteriores (ADEFAS)1,90699925.00,0.00,
Aguascalientes,2021,COGTOT,Total del Gasto,3627997000.00,3816440222.00,
Apodaca,2021,COG01, Servicios Personales               ,1062554458.00,1093030121.34,
Apodaca,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,587998804.00,611654102.31,
Apodaca,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,29935617.00,32416745.00,
Apodaca,2021,COG13,Remuneraciones Adicionales y Especiales,112682927.00,118037091.16,
Apodaca,2021,COG14,Seguridad Social,25713538.00,27649598.85,
Apodaca,2021,COG15,Otras Prestaciones Sociales y Económicas,294636256.00,291588410.02,
Apodaca,2021,COG16,Previsiones,0.00,0.00,
Apodaca,2021,COG17,Pago de Estímulos a Servidores Públicos,11587316.00,11684174.00,
Apodaca,2021,COG02,Materiales y Suministros           ,159161583.00,164774993.47,
Apodaca,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",8125630.00,8824566.65,
Apodaca,2021,COG22,Alimentos y Utensilios,485525.00,666395.44,
Apodaca,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,0.00,0.00,
Apodaca,2021,COG24,Materiales y Artículos de Construcción y Reparación,50144787.00,50195352.22,
Apodaca,2021,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",1956000.00,1428629.12,
Apodaca,2021,COG26,"Combustibles, Lubricantes y Aditivos",61785156.00,76742750.40,
Apodaca,2021,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",2716000.00,1580740.95,
Apodaca,2021,COG28,Materiales y Suministros para Seguridad,0.00,547848.80,
Apodaca,2021,COG29,"Herramientas, Refacciones y Accesorios Menores",33948485.00,24788709.89,
Apodaca,2021,COG03,Servicios Generales                ,494840675.00,656304869.82,
Apodaca,2021,COG31,Servicios Básicos,75146173.00,78635004.04,
Apodaca,2021,COG32,Servicios de Arrendamiento,24193488.00,44312651.51,
Apodaca,2021,COG33,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",37275804.00,45513459.35,
Apodaca,2021,COG34,"Servicios Financieros, Bancarios y Comerciales",9889456.00,8704709.24,
Apodaca,2021,COG35,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",273744355.00,320434383.05,
Apodaca,2021,COG36,Servicios de Comunicación Social y Publicidad,17825540.00,19132649.59,
Apodaca,2021,COG37,Servicios de Traslados y Viáticos,288000.00,508403.98,
Apodaca,2021,COG38,Servicios Oficiales,31142000.00,111365414.00,
Apodaca,2021,COG39,Otros Servicios Generales,25335859.00,27698195.06,
Apodaca,2021,COG04,"Transferencias, Asignaciones, Subsidios y Otras Ayudas",81157560.00,92024548.86,
Apodaca,2021,COG41,Transferencias Internas y Asignaciones del Sector Público,0.00,0.00,
Apodaca,2021,COG42,Transferencias al Resto del Sector Público,0.00,0.00,
Apodaca,2021,COG43,Subsidios y Subvenciones,0.00,0.00,
Apodaca,2021,COG44,Ayudas Sociales,81117560.00,91984548.86,
Apodaca,2021,COG45,Pensiones y Jubilaciones,0.00,0.00,
Apodaca,2021,COG46,"Transferencias a Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,
Apodaca,2021,COG47,Transferencias a la Seguridad Social,0.00,0.00,
Apodaca,2021,COG48,Donativos,40000.00,40000.00,
Apodaca,2021,COG49,Transferencias al Exterior,0.00,0.00,
Apodaca,2021,COG05,"Bienes Muebles, Inmuebles e Intangibles",3460000.00,12074298.25,
Apodaca,2021,COG51,Mobiliario y Equipo de Administración,660000.00,1684843.70,
Apodaca,2021,COG52,Mobiliario y Equipo Educacional y Recreativo,100000.00,59164.06,
Apodaca,2021,COG53,Equipo e Instrumental Médico y de Laboratorio,200000.00,126085.47,
Apodaca,2021,COG54,Vehículos y Equipo de Transporte,0.00,1368685.16,
Apodaca,2021,COG55,Equipo de Defensa y Seguridad,300000.00,2199824.00,
Apodaca,2021,COG56,"Maquinaria, Otros Equipos y Herramientas",2200000.00,2652553.75,
Apodaca,2021,COG57,Activos Biológicos,0.00,0.00,
Apodaca,2021,COG58,Bienes Inmuebles,0.00,0.00,
Apodaca,2021,COG59,Activos Intangibles,0.00,3983142.11,
Apodaca,2021,COG06,Inversión Pública                  ,252098415.53,282632196.00,
Apodaca,2021,COG61,Obra Pública en Bienes de Dominio Público,235405118.37,263673787.73,
Apodaca,2021,COG62,Obra Pública en Bienes Propios,16693297.16,18958408.27,
Apodaca,2021,COG63,Proyectos Productivos y Acciones de Fomento,0.00,0.00,
Apodaca,2021,COG07,Inversiones Financieras y Otras Provisiones,0.00,0.00,
Apodaca,2021,COG71,Inversiones para el Fomento de Actividades Productivas,0.00,0.00,
Apodaca,2021,COG72,Acciones y Participaciones de Capital,0.00,0.00,
Apodaca,2021,COG73,Compra de Títulos y Valores,0.00,0.00,
Apodaca,2021,COG74,Concesión de Préstamos,0.00,0.00,
Apodaca,2021,COG75,"Inversiones de Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,
Apodaca,2021,COG76,Otras Inversiones Financieras,0.00,0.00,
Apodaca,2021,COG78,Provisiones para Contingencias y Otras Erogaciones Especiales,0.00,0.00,
Apodaca,2021,COG08,Participaciones y Aportaciones     ,0.00,0.00,
Apodaca,2021,COG81,Participaciones,0.00,0.00,
Apodaca,2021,COG82,Aportaciones,0.00,0.00,
Apodaca,2021,COG83,Convenios,0.00,0.00,
Apodaca,2021,COG09,Deuda Pública                      ,47999446.00,27466969.18,
Apodaca,2021,COG91,Amortización de la Deuda Pública,6351916.00,6904771.71,
Apodaca,2021,COG92,Intereses de la Deuda Pública,20221484.00,20562197.47,
Apodaca,2021,COG93,Comisiones de la Deuda Pública,0.00,0.00,
Apodaca,2021,COG94,Gastos de la Deuda Pública,0.00,0.00,
Apodaca,2021,COG95,Costo por Coberturas,0.00,0.00,
Apodaca,2021,COG96,Apoyos Financieros,0.00,0.00,
Apodaca,2021,COG97,Adeudos de Ejercicios Fiscales Anteriores (ADEFAS)1,21426046.00,0.00,
Apodaca,2021,COGTOT,Total del Gasto,2101272137.53,2328307996.92,
Atizapan de Zaragoza,2021,COG01, Servicios Personales               ,975385388.00,991159845.06,
Atizapan de Zaragoza,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,599469107.37,581189554.57,
Atizapan de Zaragoza,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,1608000.00,1563801.03,
Atizapan de Zaragoza,2021,COG13,Remuneraciones Adicionales y Especiales,151573186.65,174035654.97,
Atizapan de Zaragoza,2021,COG14,Seguridad Social,161434370.24,152299414.37,
Atizapan de Zaragoza,2021,COG15,Otras Prestaciones Sociales y Económicas,60850723.74,82071420.12,
Atizapan de Zaragoza,2021,COG16,Previsiones,450000.00,0.00,
Atizapan de Zaragoza,2021,COG17,Pago de Estímulos a Servidores Públicos,0.00,0.00,
Atizapan de Zaragoza,2021,COG02,Materiales y Suministros           ,127419763.52,115810794.51,
Atizapan de Zaragoza,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",16551200.07,15295225.89,
Atizapan de Zaragoza,2021,COG22,Alimentos y Utensilios,4625749.84,4461567.62,
Atizapan de Zaragoza,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,48611.00,9836.14,
Atizapan de Zaragoza,2021,COG24,Materiales y Artículos de Construcción y Reparación,22084539.90,19475118.53,
Atizapan de Zaragoza,2021,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",2214077.00,8331042.12,
Atizapan de Zaragoza,2021,COG26,"Combustibles, Lubricantes y Aditivos",71004676.15,61728996.21,
Atizapan de Zaragoza,2021,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",4837630.00,3118205.03,
Atizapan de Zaragoza,2021,COG28,Materiales y Suministros para Seguridad,1431.00,3049.00,
Atizapan de Zaragoza,2021,COG29,"Herramientas, Refacciones y Accesorios Menores",6051848.56,3387753.97,
Atizapan de Zaragoza,2021,COG03,Servicios Generales                ,563405308.14,603742870.18,
Atizapan de Zaragoza,2021,COG31,Servicios Básicos,16581546.14,54793192.67,
Atizapan de Zaragoza,2021,COG32,Servicios de Arrendamiento,98886088.00,99250984.99,
Atizapan de Zaragoza,2021,COG33,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",165776689.53,159208548.06,
Atizapan de Zaragoza,2021,COG34,"Servicios Financieros, Bancarios y Comerciales",96697541.00,112242732.72,
Atizapan de Zaragoza,2021,COG35,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",84680500.25,78301017.82,
Atizapan de Zaragoza,2021,COG36,Servicios de Comunicación Social y Publicidad,10397071.80,7105004.10,
Atizapan de Zaragoza,2021,COG37,Servicios de Traslados y Viáticos,1279467.00,773357.61,
Atizapan de Zaragoza,2021,COG38,Servicios Oficiales,7884527.00,28972069.18,
Atizapan de Zaragoza,2021,COG39,Otros Servicios Generales,81221877.42,63095963.03,
Atizapan de Zaragoza,2021,COG04,"Transferencias, Asignaciones, Subsidios y Otras Ayudas",694474028.62,587205946.15,
Atizapan de Zaragoza,2021,COG41,Transferencias Internas y Asignaciones del Sector Público,0.00,0.00,
Atizapan de Zaragoza,2021,COG42,Transferencias al Resto del Sector Público,0.00,0.00,
Atizapan de Zaragoza,2021,COG43,Subsidios y Subvenciones,568436972.06,454513296.85,
Atizapan de Zaragoza,2021,COG44,Ayudas Sociales,125070816.56,131726406.30,
Atizapan de Zaragoza,2021,COG45,Pensiones y Jubilaciones,0.00,0.00,
Atizapan de Zaragoza,2021,COG46,"Transferencias a Fideicomisos, Mandatos y Otros Análogos",966240.00,966243.00,
Atizapan de Zaragoza,2021,COG47,Transferencias a la Seguridad Social,0.00,0.00,
Atizapan de Zaragoza,2021,COG48,Donativos,0.00,0.00,
Atizapan de Zaragoza,2021,COG49,Transferencias al Exterior,0.00,0.00,
Atizapan de Zaragoza,2021,COG05,"Bienes Muebles, Inmuebles e Intangibles",8897520.80,59531981.26,
Atizapan de Zaragoza,2021,COG51,Mobiliario y Equipo de Administración,4376932.80,12204322.22,
Atizapan de Zaragoza,2021,COG52,Mobiliario y Equipo Educacional y Recreativo,340880.00,17686.26,
Atizapan de Zaragoza,2021,COG53,Equipo e Instrumental Médico y de Laboratorio,50000.00,0.00,
Atizapan de Zaragoza,2021,COG54,Vehículos y Equipo de Transporte,1750208.00,1739994.20,
Atizapan de Zaragoza,2021,COG55,Equipo de Defensa y Seguridad,0.00,0.00,
Atizapan de Zaragoza,2021,COG56,"Maquinaria, Otros Equipos y Herramientas",1604500.00,43783183.38,
Atizapan de Zaragoza,2021,COG57,Activos Biológicos,0.00,0.00,
Atizapan de Zaragoza,2021,COG58,Bienes Inmuebles,0.00,0.00,
Atizapan de Zaragoza,2021,COG59,Activos Intangibles,775000.00,1786795.20,
Atizapan de Zaragoza,2021,COG06,Inversión Pública                  ,209627972.25,177418149.03,
Atizapan de Zaragoza,2021,COG61,Obra Pública en Bienes de Dominio Público,103959814.56,83482179.84,
Atizapan de Zaragoza,2021,COG62,Obra Pública en Bienes Propios,105668157.69,93935969.19,
Atizapan de Zaragoza,2021,COG63,Proyectos Productivos y Acciones de Fomento,0.00,0.00,
Atizapan de Zaragoza,2021,COG07,Inversiones Financieras y Otras Provisiones,0.00,0.00,
Atizapan de Zaragoza,2021,COG71,Inversiones para el Fomento de Actividades Productivas,0.00,0.00,
Atizapan de Zaragoza,2021,COG72,Acciones y Participaciones de Capital,0.00,0.00,
Atizapan de Zaragoza,2021,COG73,Compra de Títulos y Valores,0.00,0.00,
Atizapan de Zaragoza,2021,COG74,Concesión de Préstamos,0.00,0.00,
Atizapan de Zaragoza,2021,COG75,"Inversiones de Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,
Atizapan de Zaragoza,2021,COG76,Otras Inversiones Financieras,0.00,0.00,
Atizapan de Zaragoza,2021,COG78,Provisiones para Contingencias y Otras Erogaciones Especiales,0.00,0.00,
Atizapan de Zaragoza,2021,COG08,Participaciones y Aportaciones     ,0.00,0.00,
Atizapan de Zaragoza,2021,COG81,Participaciones,0.00,0.00,
Atizapan de Zaragoza,2021,COG82,Aportaciones,0.00,0.00,
Atizapan de Zaragoza,2021,COG83,Convenios,0.00,0.00,
Atizapan de Zaragoza,2021,COG09,Deuda Pública                      ,326032224.67,312212948.18,
Atizapan de Zaragoza,2021,COG91,Amortización de la Deuda Pública,138617444.80,243868220.57,
Atizapan de Zaragoza,2021,COG92,Intereses de la Deuda Pública,43339147.00,28535887.82,
Atizapan de Zaragoza,2021,COG93,Comisiones de la Deuda Pública,0.00,1539378.00,
Atizapan de Zaragoza,2021,COG94,Gastos de la Deuda Pública,0.00,0.00,
Atizapan de Zaragoza,2021,COG95,Costo por Coberturas,0.00,0.00,
Atizapan de Zaragoza,2021,COG96,Apoyos Financieros,0.00,0.00,
Atizapan de Zaragoza,2021,COG97,Adeudos de Ejercicios Fiscales Anteriores (ADEFAS)1,144075632.87,38269461.79,
Atizapan de Zaragoza,2021,COGTOT,Total del Gasto,2905242206.00,2847082534.37,
Campeche,2021,COG01, Servicios Personales               ,610324148.00,555533853.00,
Campeche,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,139963777.00,127572621.00,
Campeche,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,190820104.00,201620991.00,
Campeche,2021,COG13,Remuneraciones Adicionales y Especiales,142700734.00,127616880.00,
Campeche,2021,COG14,Seguridad Social,78716965.00,65582102.00,
Campeche,2021,COG15,Otras Prestaciones Sociales y Económicas,28252396.00,28426204.00,
Campeche,2021,COG16,Previsiones,18097188.00,0.00,
Campeche,2021,COG17,Pago de Estímulos a Servidores Públicos,11772984.00,4715055.00,
Campeche,2021,COG02,Materiales y Suministros           ,80901312.00,90535065.00,
Campeche,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",9161896.00,5054431.00,
Campeche,2021,COG22,Alimentos y Utensilios,777183.00,1056912.00,
Campeche,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,0.00,435.00,
Campeche,2021,COG24,Materiales y Artículos de Construcción y Reparación,44169691.00,56557264.00,
Campeche,2021,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",625616.00,1323882.00,
Campeche,2021,COG26,"Combustibles, Lubricantes y Aditivos",19260386.00,23564589.00,
Campeche,2021,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",3854389.00,579976.00,
Campeche,2021,COG28,Materiales y Suministros para Seguridad,0.00,6810.00,
Campeche,2021,COG29,"Herramientas, Refacciones y Accesorios Menores",3052151.00,2390766.00,
Campeche,2021,COG03,Servicios Generales                ,239373657.00,291293508.00,
Campeche,2021,COG31,Servicios Básicos,99434932.00,117291069.00,
Campeche,2021,COG32,Servicios de Arrendamiento,10555997.00,12559593.00,
Campeche,2021,COG33,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",5105136.00,10418882.00,
