Estado,Año,Código,Concepto,Aprobado,Devengado,
Atizapan de Zaragoza,2018,CFG1,Legislación,0.00,0.00,
Atizapan de Zaragoza,2018,CFG2,Justicia,6038069.00,4767568.05,
Atizapan de Zaragoza,2018,CFG3,Coordinación de la Política de Gobierno,163812342.20,154044556.29,
Atizapan de Zaragoza,2018,CFG4,Relaciones Exteriores,0.00,0.00,
Atizapan de Zaragoza,2018,CFG5,Asuntos Financieros y Hacendarios,1182118541.60,896303309.42,
Atizapan de Zaragoza,2018,CFG6,Seguridad Nacional,0.00,0.00,
Atizapan de Zaragoza,2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,364264298.88,413591537.69,
Atizapan de Zaragoza,2018,CFG8,Otros Servicios Generales,56081556.05,49091291.34,
Atizapan de Zaragoza,2018,CFDS,Desarrollo Social,681422829.44,765483771.66,
Atizapan de Zaragoza,2018,CFDS1,Protección Ambiental,111030820.90,164569916.49,
Atizapan de Zaragoza,2018,CFDS2,Vivienda y Servicios a la Comunidad,414864852.83,489797684.29,
Atizapan de Zaragoza,2018,CFDS3,Salud,0.00,0.00,
Atizapan de Zaragoza,2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",46072726.00,28557404.55,
Atizapan de Zaragoza,2018,CFDS5,Educación,84094239.59,59628179.47,
Atizapan de Zaragoza,2018,CFDS6,Protección Social,25360190.12,22930586.86,
Atizapan de Zaragoza,2018,CFDS7,Otros Asuntos Sociales,0.00,0.00,
Atizapan de Zaragoza,2018,CFDE,Desarrollo Económico,26355619.83,14457592.57,
Atizapan de Zaragoza,2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",1057300.00,202770.73,
Atizapan de Zaragoza,2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",20000.00,20000.00,
Atizapan de Zaragoza,2018,CFDE3,Combustibles y Energía,42230.00,3996.48,
Atizapan de Zaragoza,2018,CFDE4,"Minería, Manufacturas y Construcción",10134440.00,7160573.37,
Atizapan de Zaragoza,2018,CFDE5,Transporte,12905037.83,6163802.93,
Atizapan de Zaragoza,2018,CFDE6,Comunicaciones,0.00,0.00,
Atizapan de Zaragoza,2018,CFDE7,Turismo,1488188.00,543742.14,
Atizapan de Zaragoza,2018,CFDE8,"Ciencia, Tecnología e Innovación",0.00,0.00,
Atizapan de Zaragoza,2018,CFDE9,Otras Industrias y Otros Asuntos Económicos,708424.00,362706.92,
Atizapan de Zaragoza,2018,CFOA,Otras no Clasificadas en Funciones Anteriores,204685643.00,164118434.90,
Atizapan de Zaragoza,2018,CFOA1,Transacciones de la Deuda Publica / Costo Financiero de la Deuda,170949240.00,158015079.12,
Atizapan de Zaragoza,2018,CFOA2,"Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno",11000.00,0.00,
Atizapan de Zaragoza,2018,CFOA3,Saneamiento del Sistema Financiero,0.00,0.00,
Atizapan de Zaragoza,2018,CFOA4,Adeudos de Ejercicios Fiscales Anteriores,33725403.00,6103355.78,
Atizapan de Zaragoza,2018,CFTOTAL,Total del gasto,2684778900.00,2461858061.92,
Campeche,2018,CFG,Gobierno,1165666847.00,1398662845.00,
Campeche,2018,CFG1,Legislación,1165666847.00,1385282676.00,
Campeche,2018,CFG2,Justicia,0.00,0.00,
Campeche,2018,CFG3,Coordinación de la Política de Gobierno,0.00,0.00,
Campeche,2018,CFG4,Relaciones Exteriores,0.00,0.00,
Campeche,2018,CFG5,Asuntos Financieros y Hacendarios,0.00,848520.00,
Campeche,2018,CFG6,Seguridad Nacional,0.00,0.00,
Campeche,2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,0.00,12531649.00,
Campeche,2018,CFG8,Otros Servicios Generales,0.00,0.00,
Campeche,2018,CFDS,Desarrollo Social,0.00,73682006.00,
Campeche,2018,CFDS1,Protección Ambiental,0.00,474699.00,
Campeche,2018,CFDS2,Vivienda y Servicios a la Comunidad,0.00,72530575.00,
Campeche,2018,CFDS3,Salud,0.00,0.00,
Campeche,2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",0.00,0.00,
Campeche,2018,CFDS5,Educación,0.00,676732.00,
Campeche,2018,CFDS6,Protección Social,0.00,0.00,
Campeche,2018,CFDS7,Otros Asuntos Sociales,0.00,0.00,
Campeche,2018,CFDE,Desarrollo Económico,0.00,21059574.00,
Campeche,2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",0.00,0.00,
Campeche,2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",0.00,0.00,
Campeche,2018,CFDE3,Combustibles y Energía,0.00,0.00,
Campeche,2018,CFDE4,"Minería, Manufacturas y Construcción",0.00,20973477.00,
Campeche,2018,CFDE5,Transporte,0.00,0.00,
Campeche,2018,CFDE6,Comunicaciones,0.00,0.00,
Campeche,2018,CFDE7,Turismo,0.00,86097.00,
Campeche,2018,CFDE8,"Ciencia, Tecnología e Innovación",0.00,0.00,
Campeche,2018,CFDE9,Otras Industrias y Otros Asuntos Económicos,0.00,0.00,
Campeche,2018,CFOA,Otras no Clasificadas en Funciones Anteriores,0.00,0.00,
Campeche,2018,CFOA1,Transacciones de la Deuda Publica / Costo Financiero de la Deuda,0.00,0.00,
Campeche,2018,CFOA2,"Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno",0.00,0.00,
Campeche,2018,CFOA3,Saneamiento del Sistema Financiero,0.00,0.00,
Campeche,2018,CFOA4,Adeudos de Ejercicios Fiscales Anteriores,0.00,0.00,
Campeche,2018,CFTOTAL,Total del gasto,1165666847.00,1493404425.00,
Benito Juarez (Cancun),2018,CFG,Gobierno,2670819073.00,2017098199.59,
Benito Juarez (Cancun),2018,CFG1,Legislación,18514939.00,2327762.37,
Benito Juarez (Cancun),2018,CFG2,Justicia,0.00,0.00,
Benito Juarez (Cancun),2018,CFG3,Coordinación de la Política de Gobierno,313711526.00,561636438.98,
Benito Juarez (Cancun),2018,CFG4,Relaciones Exteriores,0.00,0.00,
Benito Juarez (Cancun),2018,CFG5,Asuntos Financieros y Hacendarios,398940465.00,437207646.55,
Benito Juarez (Cancun),2018,CFG6,Seguridad Nacional,0.00,0.00,
Benito Juarez (Cancun),2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,413297727.00,628133534.44,
Benito Juarez (Cancun),2018,CFG8,Otros Servicios Generales,1526354416.00,387792817.25,
Benito Juarez (Cancun),2018,CFDS,Desarrollo Social,929032921.00,1679850638.95,
Benito Juarez (Cancun),2018,CFDS1,Protección Ambiental,321669500.00,417375770.84,
Benito Juarez (Cancun),2018,CFDS2,Vivienda y Servicios a la Comunidad,421972601.00,983033639.49,
Benito Juarez (Cancun),2018,CFDS3,Salud,2650000.00,17029399.87,
Benito Juarez (Cancun),2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",50962000.00,99995152.49,
Benito Juarez (Cancun),2018,CFDS5,Educación,32031100.00,38351316.94,
Benito Juarez (Cancun),2018,CFDS6,Protección Social,97947720.00,123572294.03,
Benito Juarez (Cancun),2018,CFDS7,Otros Asuntos Sociales,1800000.00,493065.29,
Benito Juarez (Cancun),2018,CFDE,Desarrollo Económico,0.00,0.00,
Benito Juarez (Cancun),2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",0.00,0.00,
Benito Juarez (Cancun),2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",0.00,0.00,
Benito Juarez (Cancun),2018,CFDE3,Combustibles y Energía,0.00,0.00,
Benito Juarez (Cancun),2018,CFDE4,"Minería, Manufacturas y Construcción",0.00,0.00,
Benito Juarez (Cancun),2018,CFDE5,Transporte,0.00,0.00,
Benito Juarez (Cancun),2018,CFDE6,Comunicaciones,0.00,0.00,
Benito Juarez (Cancun),2018,CFDE7,Turismo,0.00,0.00,
Benito Juarez (Cancun),2018,CFDE8,"Ciencia, Tecnología e Innovación",0.00,0.00,
Benito Juarez (Cancun),2018,CFDE9,Otras Industrias y Otros Asuntos Económicos,0.00,0.00,
Benito Juarez (Cancun),2018,CFOA,Otras no Clasificadas en Funciones Anteriores,8179400.00,12517541.02,
Benito Juarez (Cancun),2018,CFOA1,Transacciones de la Deuda Publica / Costo Financiero de la Deuda,0.00,0.00,
Benito Juarez (Cancun),2018,CFOA2,"Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno",8179400.00,12517541.02,
Benito Juarez (Cancun),2018,CFOA3,Saneamiento del Sistema Financiero,0.00,0.00,
Benito Juarez (Cancun),2018,CFOA4,Adeudos de Ejercicios Fiscales Anteriores,0.00,0.00,
Benito Juarez (Cancun),2018,CFTOTAL,Total del gasto,3608031394.00,3709466379.56,
Celaya,2018,CFG,Gobierno,671978418.89,628168012.61,
Celaya,2018,CFG1,Legislación,15027111.91,14196946.35,
Celaya,2018,CFG2,Justicia,7175199.27,6184894.40,
Celaya,2018,CFG3,Coordinación de la Política de Gobierno,95445363.58,88619681.86,
Celaya,2018,CFG4,Relaciones Exteriores,5534420.21,4980194.02,
Celaya,2018,CFG5,Asuntos Financieros y Hacendarios,60414353.63,58090758.32,
Celaya,2018,CFG6,Seguridad Nacional,0.00,0.00,
Celaya,2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,340213132.12,297229060.79,
Celaya,2018,CFG8,Otros Servicios Generales,148168838.17,158866476.87,
Celaya,2018,CFDS,Desarrollo Social,1280532159.78,1257323932.50,
Celaya,2018,CFDS1,Protección Ambiental,85879074.93,100842573.48,
Celaya,2018,CFDS2,Vivienda y Servicios a la Comunidad,1040949980.05,996474033.10,
Celaya,2018,CFDS3,Salud,4005955.48,6967754.89,
Celaya,2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",53988892.68,56765143.41,
Celaya,2018,CFDS5,Educación,14195723.32,13573378.82,
Celaya,2018,CFDS6,Protección Social,48588955.00,49151500.62,
Celaya,2018,CFDS7,Otros Asuntos Sociales,32923578.32,33549548.18,
Celaya,2018,CFDE,Desarrollo Económico,130557126.80,118514746.52,
Celaya,2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",26619569.01,20225490.82,
Celaya,2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",0.00,0.00,
Celaya,2018,CFDE3,Combustibles y Energía,0.00,0.00,
Celaya,2018,CFDE4,"Minería, Manufacturas y Construcción",0.00,0.00,
Celaya,2018,CFDE5,Transporte,89887262.19,86443178.85,
Celaya,2018,CFDE6,Comunicaciones,9059481.60,6855262.85,
Celaya,2018,CFDE7,Turismo,4990814.00,4990814.00,
Celaya,2018,CFDE8,"Ciencia, Tecnología e Innovación",0.00,0.00,
Celaya,2018,CFDE9,Otras Industrias y Otros Asuntos Económicos,0.00,0.00,
Celaya,2018,CFOA,Otras no Clasificadas en Funciones Anteriores,49764660.00,61282376.08,
Celaya,2018,CFOA1,Transacciones de la Deuda Publica / Costo Financiero de la Deuda,49764660.00,61282376.08,
Celaya,2018,CFOA2,"Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno",0.00,0.00,
Celaya,2018,CFOA3,Saneamiento del Sistema Financiero,0.00,0.00,
Celaya,2018,CFOA4,Adeudos de Ejercicios Fiscales Anteriores,0.00,0.00,
Celaya,2018,CFTOTAL,Total del gasto,2132832365.47,2065289067.71,
Chihuahua,2018,CFG,Gobierno,2976449385.00,3402429540.76,
Chihuahua,2018,CFG1,Legislación,0.00,0.00,
Chihuahua,2018,CFG2,Justicia,0.00,0.00,
Chihuahua,2018,CFG3,Coordinación de la Política de Gobierno,2976449385.00,3402429540.76,
Chihuahua,2018,CFG4,Relaciones Exteriores,0.00,0.00,
Chihuahua,2018,CFG5,Asuntos Financieros y Hacendarios,0.00,0.00,
Chihuahua,2018,CFG6,Seguridad Nacional,0.00,0.00,
Chihuahua,2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,0.00,0.00,
Chihuahua,2018,CFG8,Otros Servicios Generales,0.00,0.00,
Chihuahua,2018,CFDS,Desarrollo Social,0.00,0.00,
Chihuahua,2018,CFDS1,Protección Ambiental,0.00,0.00,
Chihuahua,2018,CFDS2,Vivienda y Servicios a la Comunidad,0.00,0.00,
Chihuahua,2018,CFDS3,Salud,0.00,0.00,
Chihuahua,2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",0.00,0.00,
Chihuahua,2018,CFDS5,Educación,0.00,0.00,
Chihuahua,2018,CFDS6,Protección Social,0.00,0.00,
Chihuahua,2018,CFDS7,Otros Asuntos Sociales,0.00,0.00,
Chihuahua,2018,CFDE,Desarrollo Económico,0.00,0.00,
Chihuahua,2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",0.00,0.00,
Chihuahua,2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",0.00,0.00,
Chihuahua,2018,CFDE3,Combustibles y Energía,0.00,0.00,
Chihuahua,2018,CFDE4,"Minería, Manufacturas y Construcción",0.00,0.00,
Chihuahua,2018,CFDE5,Transporte,0.00,0.00,
Chihuahua,2018,CFDE6,Comunicaciones,0.00,0.00,
Chihuahua,2018,CFDE7,Turismo,0.00,0.00,
Chihuahua,2018,CFDE8,"Ciencia, Tecnología e Innovación",0.00,0.00,
Chihuahua,2018,CFDE9,Otras Industrias y Otros Asuntos Económicos,0.00,0.00,
Chihuahua,2018,CFOA,Otras no Clasificadas en Funciones Anteriores,0.00,0.00,
Chihuahua,2018,CFOA1,Transacciones de la Deuda Publica / Costo Financiero de la Deuda,0.00,0.00,
Chihuahua,2018,CFOA2,"Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno",0.00,0.00,
Chihuahua,2018,CFOA3,Saneamiento del Sistema Financiero,0.00,0.00,
Chihuahua,2018,CFOA4,Adeudos de Ejercicios Fiscales Anteriores,0.00,0.00,
Chihuahua,2018,CFTOTAL,Total del gasto,2976449385.00,3402429540.76,
Chilpancingo de los Bravo,2018,CFG,Gobierno,345016795.27,461530427.46,
Chilpancingo de los Bravo,2018,CFG1,Legislación,0.00,0.00,
Chilpancingo de los Bravo,2018,CFG2,Justicia,0.00,0.00,
Chilpancingo de los Bravo,2018,CFG3,Coordinación de la Política de Gobierno,104789339.46,118637015.73,
Chilpancingo de los Bravo,2018,CFG4,Relaciones Exteriores,0.00,0.00,
Chilpancingo de los Bravo,2018,CFG5,Asuntos Financieros y Hacendarios,72261252.81,173280102.35,
Chilpancingo de los Bravo,2018,CFG6,Seguridad Nacional,0.00,0.00,
Chilpancingo de los Bravo,2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,167966203.00,169613309.38,
Chilpancingo de los Bravo,2018,CFG8,Otros Servicios Generales,0.00,0.00,
Chilpancingo de los Bravo,2018,CFDS,Desarrollo Social,301350664.61,306864616.19,
Chilpancingo de los Bravo,2018,CFDS1,Protección Ambiental,0.00,0.00,
Chilpancingo de los Bravo,2018,CFDS2,Vivienda y Servicios a la Comunidad,247163495.00,260774877.43,
Chilpancingo de los Bravo,2018,CFDS3,Salud,19114080.85,20390234.11,
Chilpancingo de los Bravo,2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",0.00,0.00,
Chilpancingo de los Bravo,2018,CFDS5,Educación,0.00,0.00,
Chilpancingo de los Bravo,2018,CFDS6,Protección Social,35073088.76,25699504.65,
Chilpancingo de los Bravo,2018,CFDS7,Otros Asuntos Sociales,0.00,0.00,
Chilpancingo de los Bravo,2018,CFDE,Desarrollo Económico,29734645.83,48802816.85,
Chilpancingo de los Bravo,2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",21308853.62,21045634.45,
Chilpancingo de los Bravo,2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",7747042.19,27551888.92,
Chilpancingo de los Bravo,2018,CFDE3,Combustibles y Energía,0.00,0.00,
Chilpancingo de los Bravo,2018,CFDE4,"Minería, Manufacturas y Construcción",0.00,0.00,
Chilpancingo de los Bravo,2018,CFDE5,Transporte,0.00,0.00,
Chilpancingo de los Bravo,2018,CFDE6,Comunicaciones,0.00,0.00,
Chilpancingo de los Bravo,2018,CFDE7,Turismo,678750.02,205293.48,
Chilpancingo de los Bravo,2018,CFDE8,"Ciencia, Tecnología e Innovación",0.00,0.00,
Chilpancingo de los Bravo,2018,CFDE9,Otras Industrias y Otros Asuntos Económicos,0.00,0.00,
Chilpancingo de los Bravo,2018,CFOA,Otras no Clasificadas en Funciones Anteriores,0.00,0.00,
Chilpancingo de los Bravo,2018,CFOA1,Transacciones de la Deuda Publica / Costo Financiero de la Deuda,0.00,0.00,
Chilpancingo de los Bravo,2018,CFOA2,"Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno",0.00,0.00,
Chilpancingo de los Bravo,2018,CFOA3,Saneamiento del Sistema Financiero,0.00,0.00,
Chilpancingo de los Bravo,2018,CFOA4,Adeudos de Ejercicios Fiscales Anteriores,0.00,0.00,
Chilpancingo de los Bravo,2018,CFTOTAL,Total del gasto,676102105.71,817197860.50,
Chimalhuacan,2018,CFG,Gobierno,1678685523.23,2657939088.24,
Chimalhuacan,2018,CFG1,Legislación,0.00,0.00,
Chimalhuacan,2018,CFG2,Justicia,1139926.20,1177631.00,
Chimalhuacan,2018,CFG3,Coordinación de la Política de Gobierno,982042989.89,1898055327.83,
Chimalhuacan,2018,CFG4,Relaciones Exteriores,0.00,0.00,
Chimalhuacan,2018,CFG5,Asuntos Financieros y Hacendarios,344727758.90,384065475.47,
Chimalhuacan,2018,CFG6,Seguridad Nacional,0.00,0.00,
Chimalhuacan,2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,294510141.29,322238453.88,
Chimalhuacan,2018,CFG8,Otros Servicios Generales,56264706.95,52402200.06,
Chimalhuacan,2018,CFDS,Desarrollo Social,613250566.96,243483459.96,
Chimalhuacan,2018,CFDS1,Protección Ambiental,55228690.15,56878960.30,
Chimalhuacan,2018,CFDS2,Vivienda y Servicios a la Comunidad,487339583.52,116468974.24,
Chimalhuacan,2018,CFDS3,Salud,0.00,0.00,
Chimalhuacan,2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",66451975.53,66981403.32,
Chimalhuacan,2018,CFDS5,Educación,1121997.40,867264.38,
Chimalhuacan,2018,CFDS6,Protección Social,3108320.36,2286857.72,
Chimalhuacan,2018,CFDS7,Otros Asuntos Sociales,0.00,0.00,
Chimalhuacan,2018,CFDE,Desarrollo Económico,7832145.81,8963092.56,
Chimalhuacan,2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",0.00,0.00,
Chimalhuacan,2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",0.00,0.00,
Chimalhuacan,2018,CFDE3,Combustibles y Energía,0.00,0.00,
Chimalhuacan,2018,CFDE4,"Minería, Manufacturas y Construcción",6179159.25,7644671.96,
Chimalhuacan,2018,CFDE5,Transporte,0.00,0.00,
Chimalhuacan,2018,CFDE6,Comunicaciones,0.00,0.00,
Chimalhuacan,2018,CFDE7,Turismo,1652986.56,1318420.60,
Chimalhuacan,2018,CFDE8,"Ciencia, Tecnología e Innovación",0.00,0.00,
