Municipio,Año,Código,Activo,Concepto,Aprobado,Devengado,Observaciones
Aguascalientes,2021,CA09,x,SECRETARÍA DE DESARROLLO SOCIAL,140790837,185140197,x
Aguascalientes,2021,CA10,x,SECRETARIA DE DESARROLLO URBANO,49166160,49988024,x
Aguascalientes,2021,CA11,x,SECRETARIA DE SERVICIOS PUBLICOS ,925075775,1025990690,x
Aguascalientes,2021,CA12,x,SECRETARIA DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,837641259,820633936,x
Aguascalientes,2021,CA13,x,SECRETARIA DE MEDIO AMBIENTE Y DESARROLLO SUSTENTABLE,21538098,20734301,x
Aguascalientes,2021,CA14,x,SECRETARÍA DE ECONOMÍA SOCIAL Y TURISMO MUNICIPAL,20803179,26212587,x
Aguascalientes,2021,CA15,x,COORDINACIÓN GENERAL DE DELEGACIONES URBANAS Y RURALES,83925549,89604336,x
Aguascalientes,2021,CA16,x,COORDINACION DE TRANSPARENCIA Y ACCESO A LA INFORMACION,3982950,3892970,x
Aguascalientes,2021,CA17,x,COMISION DE AGUA POTABLE Y ALCANTARILLADO,171808127,174702319,x
Aguascalientes,2021,CA18,x,IMPLAN,27400000,27692720,x
Aguascalientes,2021,CA19,x,IMMA,15122708,15322716,x
Aguascalientes,2021,CA20,x,INSTITUTO MUNICIPAL AGUASCALENTENSE PARA LA CULTURA,45400000,46071505,x
Aguascalientes,2021,CA21,x,INSTITUTO MUNICIPAL DE LA JUVENTUD DE AGUASCALIENTES,10500000,10524300,x
Aguascalientes,2021,CATOT,x,Total del gasto,3627997000,3816440219,x
Aguascalientes,2020,CA01,x,H. AYUNTAMIENTO,72982739.5,75315280.66,x
Aguascalientes,2020,CA02,x,PRESIDENCIA MUNICIPAL,177379281,172737119.5,x
Aguascalientes,2020,CA03,x,SECRETARÍA DE COMUNICACION SOCIAL,59176058.81,63074534.03,x
Aguascalientes,2020,CA04,x,ÓRGANO INTERNO DE CONTROL,20051967.36,21292202,x
Aguascalientes,2020,CA05,x,SECRETARÍA DEL H.AYUNTAMIENTO Y DIRECCIÓN GENERAL DE GOBIERNO,178970950.2,172039099.1,x
Aguascalientes,2020,CA06,x,SECRETARIA DE FINANZAS PUBLICAS,192733571.8,117586854,x
Aguascalientes,2020,CA07,x,SECRETARIA DE OBRAS PUBLICAS,384102000.8,418225526.1,x
Aguascalientes,2020,CA08,x,SECRETARIA DE ADMINISTRACION,199204863.2,198173597.1,x
Aguascalientes,2020,CA09,x,SECRETARÍA DE DESARROLLO SOCIAL,178634251.2,170270694.2,x
Aguascalientes,2020,CA10,x,SECRETARIA DE DESARROLLO URBANO,52024248.52,48649698.32,x
Aguascalientes,2020,CA11,x,SECRETARIA DE SERVICIOS PUBLICOS ,898003649.2,897942688.7,x
Aguascalientes,2020,CA12,x,SECRETARIA DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,918544286.7,889628762.7,x
Aguascalientes,2020,CA13,x,SECRETARIA DE MEDIO AMBIENTE Y DESARROLLO SUSTENTABLE,19917734.64,22044476.66,x
Aguascalientes,2020,CA14,x,SECRETARÍA DE ECONOMÍA SOCIAL Y TURISMO MUNICIPAL,24848553.76,37862694.11,x
Aguascalientes,2020,CA15,x,COORDINACIÓN GENERAL DE DELEGACIONES URBANAS Y RURALES,77336340.36,75892403.41,x
Aguascalientes,2020,CA16,x,COORDINACION DE TRANSPARENCIA Y ACCESO A LA INFORMACION,4552598.28,4137768.79,x
Aguascalientes,2020,CA17,x,COMISION DE AGUA POTABLE Y ALCANTARILLADO,143055954.2,197088476.2,x
Aguascalientes,2020,CA18,x,IMPLAN,32500000,32500000,x
Aguascalientes,2020,CA19,x,IMMA,14817465.8,15082748.8,x
Aguascalientes,2020,CA20,x,INSTITUTO MUNICIPAL AGUASCALENTENSE PARA LA CULTURA,47144357.56,45644358,x
Aguascalientes,2020,CA21,x,INSTITUTO MUNICIPAL DE LA JUVENTUD DE AGUASCALIENTES,11013020.08,15173020.04,x
Aguascalientes,2020,CATOT,x,Total del gasto,3706993893,3690362002,x
Aguascalientes,2019,CA01,x,H. AYUNTAMIENTO,72259557.75,72650977.44,x
Aguascalientes,2019,CA02,x,PRESIDENCIA MUNICIPAL,163427238.9,182853324.4,x
Aguascalientes,2019,CA03,x,SECRETARÍA DE COMUNICACION SOCIAL,49622346.8,70515736.19,x
Aguascalientes,2019,CA04,x,ÓRGANO INTERNO DE CONTROL,19395797.96,23343204,x
Aguascalientes,2019,CA05,x,SECRETARÍA DEL H.AYUNTAMIENTO Y DIRECCIÓN GENERAL DE GOBIERNO,169297575.8,171654728,x
Aguascalientes,2019,CA06,x,SECRETARIA DE FINANZAS PUBLICAS,212722468.3,259077822.5,x
Aguascalientes,2019,CA07,x,SECRETARIA DE OBRAS PUBLICAS,345952717.1,369048144.8,x
Aguascalientes,2019,CA08,x,SECRETARIA DE ADMINISTRACION,153211493,187430635.3,x
Aguascalientes,2019,CA09,x,SECRETARÍA DE DESARROLLO SOCIAL,179059342.8,223774020.3,x
Aguascalientes,2019,CA10,x,SECRETARIA DE DESARROLLO URBANO,46539473.01,44485065.38,x
Aguascalientes,2019,CA11,x,SECRETARIA DE SERVICIOS PUBLICOS ,801921576,829504739.3,x
Aguascalientes,2019,CA12,x,SECRETARIA DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,732364663.3,772239545.5,x
Aguascalientes,2019,CA13,x,SECRETARIA DE MEDIO AMBIENTE Y DESARROLLO SUSTENTABLE,15832042.14,16227597.4,x
Aguascalientes,2019,CA14,x,SECRETARÍA DE ECONOMÍA SOCIAL Y TURISMO MUNICIPAL,20035831.94,23156285.08,x
Aguascalientes,2019,CA15,x,COORDINACIÓN GENERAL DE DELEGACIONES URBANAS Y RURALES,64457567.97,56297192.03,x
Aguascalientes,2019,CA16,x,COORDINACION DE TRANSPARENCIA Y ACCESO A LA INFORMACION,4389280.08,4014095.81,x
Aguascalientes,2019,CA17,x,COMISION DE AGUA POTABLE Y ALCANTARILLADO,127112576.3,155072146.8,x
Aguascalientes,2019,CA18,x,IMPLAN,28466507,28916507.04,x
Aguascalientes,2019,CA19,x,IMMA,13670640,13850522.82,x
Aguascalientes,2019,CA20,x,INSTITUTO MUNICIPAL AGUASCALENTENSE PARA LA CULTURA,44157280,51246979.98,x
Aguascalientes,2019,CA21,x,INSTITUTO MUNICIPAL DE LA JUVENTUD DE AGUASCALIENTES,6711024,18755023.55,x
Aguascalientes,2019,CATOT,x,Total del gasto,3270607000,3574114294,x
Aguascalientes,2018,CA01,x,H. AYUNTAMIENTO,59063353,61328963,x
Aguascalientes,2018,CA02,x,PRESIDENCIA MUNICIPAL,171865086,165148533,x
Aguascalientes,2018,CA03,x,SECRETARÍA DE COMUNICACION SOCIAL,49622347,73585094,x
Aguascalientes,2018,CA04,x,ÓRGANO INTERNO DE CONTROL,0,16867916,x
Aguascalientes,2018,CA05,x,SECRETARÍA DEL H.AYUNTAMIENTO Y DIRECCIÓN GENERAL DE GOBIERNO,160263447,162955748,x
Aguascalientes,2018,CA06,x,SECRETARIA DE FINANZAS PUBLICAS,226241421,246909048,x
Aguascalientes,2018,CA07,x,SECRETARIA DE OBRAS PUBLICAS,316063782,551775754,x
Aguascalientes,2018,CA08,x,SECRETARIA DE ADMINISTRACION,148063016,168268732,x
Aguascalientes,2018,CA09,x,SECRETARÍA DE DESARROLLO SOCIAL,178853171,272094881,x
Aguascalientes,2018,CA10,x,SECRETARIA DE DESARROLLO URBANO,44454656,46497835,x
Aguascalientes,2018,CA11,x,SECRETARIA DE SERVICIOS PUBLICOS ,675965478,770591934,x
Aguascalientes,2018,CA12,x,SECRETARIA DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,726864667,773043713,x
Aguascalientes,2018,CA13,x,SECRETARIA DE MEDIO AMBIENTE Y DESARROLLO SUSTENTABLE,15832043,14952214,x
Aguascalientes,2018,CA14,x,SECRETARÍA DE ECONOMÍA SOCIAL Y TURISMO MUNICIPAL,20000000,26946227,x
Aguascalientes,2018,CA15,x,COORDINACIÓN GENERAL DE DELEGACIONES URBANAS Y RURALES,52000730,57467487,x
Aguascalientes,2018,CA16,x,COORDINACION DE TRANSPARENCIA Y ACCESO A LA INFORMACION,2707135,3977789,x
Aguascalientes,2018,CA17,x,COMISION DE AGUA POTABLE Y ALCANTARILLADO,139643989,134382391,x
Aguascalientes,2018,CA18,x,IMPLAN,26466507,27133711,x
Aguascalientes,2018,CA19,x,IMMA,11876800,14621327,x
Aguascalientes,2018,CA20,x,INSTITUTO MUNICIPAL AGUASCALENTENSE PARA LA CULTURA,37000000,54807204,x
Aguascalientes,2018,CA21,x,INSTITUTO MUNICIPAL DE LA JUVENTUD DE AGUASCALIENTES,6391451,6128758,x
Aguascalientes,2018,CATOT,x,Total del gasto,3069239079,3649485259,x
Apodaca,2021,CA01,x,CONTRALORIA Y TRANSPARENCIA MUNICIPAL,6577127,16438817.95,x
Apodaca,2021,CA02,x,SECRETARIA DEL AYUNTAMIENTO,73882729,78867523.94,x
Apodaca,2021,CA03,x,TESORERIA MUNICIPAL,147333660,113099024.2,x
Apodaca,2021,CA04,x,SECRETARIA DE ADMINISTRACION,56593519,68654084.49,x
Apodaca,2021,CA05,x,SECRETARIA DE SERVICIOS PUBLICOS,565393847,586243411.4,x
Apodaca,2021,CA06,x,SECRETARIA DE SEGURIDAD PUBLICA Y VIAL,441282564,487623070.3,x
Apodaca,2021,CA07,x,SECRETARIA DE ECONOMIA,5800529,5826779.03,x
Apodaca,2021,CA08,x,JEFE DE LA OFICINA EJECUTIVA,66807982,65440935.45,x
Apodaca,2021,CA09,x,SECRETARIA DIF,88632172,109733271.4,x
Apodaca,2021,CA10,x,CONSEJERÍA JURIDICA,14702530,16105557.99,x
Apodaca,2021,CA11,x,PENSIONADOS Y JUBILADOS,95014808,100991561.6,x
Apodaca,2021,CA12,x,REPUBLICANO AYUNTAMIENTO,13056859,12485203.81,x
Apodaca,2021,CA13,x,"SECRETARIA DE DESARROLLO URBANO, ECOLOGÍA Y TRANSPORTE",32404119,30293404.33,x
Apodaca,2021,CA14,x,SECRETARIA DE OBRAS PUBLICAS,277604686.5,335569130,x
Apodaca,2021,CA15,x,SECRETARIA DE DESARROLLO SOCIAL Y DEPORTES,167364365,253344249.8,x
Apodaca,2021,CA16,x,SECRETARIA DE PREVENCION SOCIAL,8972716,7786410.09,x
Apodaca,2021,CA17,x,SECRETARIA DE CONCERTACION SOCIAL,39847925,39805561.08,x
Apodaca,2021,CATOT,x,Total del gasto,2101272138,2328307997,x
Apodaca,2020,CA01,x,CONTRALORIA Y TRANSPARENCIA MUNICIPAL,6363156,6153961.73,x
Apodaca,2020,CA02,x,SECRETARIA DEL AYUNTAMIENTO,80174582,76939062.75,x
Apodaca,2020,CA03,x,TESORERIA MUNICIPAL,176931751,374707377.5,x
Apodaca,2020,CA04,x,SECRETARIA DE ADMINISTRACION,64181596,101683856.3,x
Apodaca,2020,CA05,x,SECRETARIA DE SERVICIOS PUBLICOS,611656406,560734904.8,x
Apodaca,2020,CA06,x,SECRETARIA DE SEGURIDAD PUBLICA Y VIAL,429483716,448177125,x
Apodaca,2020,CA07,x,SECRETARIA DE ECONOMIA,6738407,5975597.22,x
Apodaca,2020,CA08,x,JEFE DE LA OFICINA EJECUTIVA,73590481,65407090.58,x
Apodaca,2020,CA09,x,SECRETARIA DIF,107602176,93527395.83,x
Apodaca,2020,CA10,x,CONSEJERÍA JURIDICA,14288439,15264460.03,x
Apodaca,2020,CA11,x,PENSIONADOS Y JUBILADOS,80055189,93425300.88,x
Apodaca,2020,CA12,x,REPUBLICANO AYUNTAMIENTO,14990291,12994963.85,x
Apodaca,2020,CA13,x,"SECRETARIA DE DESARROLLO URBANO, ECOLOGÍA Y TRANSPORTE",32693890,36139319.13,x
Apodaca,2020,CA14,x,SECRETARIA DE OBRAS PUBLICAS,522466292.3,573467264.9,x
Apodaca,2020,CA15,x,SECRETARIA DE DESARROLLO SOCIAL Y DEPORTES,220331044,183454507.3,x
Apodaca,2020,CA16,x,SECRETARIA DE PREVENCION SOCIAL,12507093,8402574.6,x
Apodaca,2020,CA17,x,SECRETARIA DE CONCERTACION SOCIAL,39284682,60213013.25,x
Apodaca,2020,CATOT,x,Total del gasto,2493339191,2716667776,x
Apodaca,2019,CA01,x,CONTRALORIA Y TRANSPARENCIA MUNICIPAL,5580516,6421192.61,x
Apodaca,2019,CA02,x,SECRETARIA DEL AYUNTAMIENTO,84576864,69051488.46,x
Apodaca,2019,CA03,x,TESORERIA MUNICIPAL,179612756,137154244.6,x
Apodaca,2019,CA04,x,SECRETARIA DE ADMINISTRACION,60366501,54527270.24,x
Apodaca,2019,CA05,x,SECRETARIA DE SERVICIOS PUBLICOS,503977065,567205541.8,x
Apodaca,2019,CA06,x,SECRETARIA DE SEGURIDAD PUBLICA Y VIAL,355685848,370509475.9,x
Apodaca,2019,CA07,x,SECRETARIA DE ECONOMIA,6680174,7487356.56,x
Apodaca,2019,CA08,x,JEFE DE LA OFICINA EJECUTIVA,31454798,64284024.9,x
Apodaca,2019,CA09,x,DIF,100429355,104182246.1,x
Apodaca,2019,CA10,x,CONSEJERÍA JURIDICA,11827410,15163737.11,x
Apodaca,2019,CA11,x,PENSIONADOS Y JUBILADOS,81370669,73161404.93,x
Apodaca,2019,CA12,x,REPUBLICANO AYUNTAMIENTO,16716958,13755292.03,x
Apodaca,2019,CA13,x,"SECRETARIA DE DESARROLLO URBANO, ECOLOGÍA Y TRANSPORTE",37943077,32009063.68,x
Apodaca,2019,CA14,x,SECRETARIA DE OBRAS PUBLICAS,820785968.9,657789857.5,x
Apodaca,2019,CA15,x,SECRETARIA DE DESARROLLO SOCIAL Y DEPORTES,185912934,206865868.6,x
Apodaca,2019,CA16,x,SECRETARIA DE PREVENCION SOCIAL,4289499,6704536.81,x
Apodaca,2019,CA17,x,SECRETARIA DE CONCERTACION SOCIAL,0,40420005.74,x
Apodaca,2019,CATOT,x,Total del gasto,2487210393,2426692608,x
Apodaca,2018,CA01,x,CONTRALORIA Y TRANSPARENCIA MUNICIPAL,5323969,5620322.23,x
Apodaca,2018,CA02,x,SECRETARIA DEL AYUNTAMIENTO,88275408,82302051.52,x
Apodaca,2018,CA03,x,TESORERIA MUNICIPAL,153718960,118895452.9,x
Apodaca,2018,CA04,x,SECRETARIA DE ADMINISTRACION,58380784,38234669.41,x
Apodaca,2018,CA05,x,SECRETARIA DE DESARROLLO SOCIAL,90998071,86122510.55,x
Apodaca,2018,CA06,x,SECRETARIA DE SEGURIDAD PUBLICA Y VIAL,433278289,468839947,x
Apodaca,2018,CA07,x,SECRETARIA DE SERVICIOS PUBLICOS,274047849,367715394.8,x
Apodaca,2018,CA08,x,SECRETARIA DE FOMENTO ECONOMICO,5290187,4805394.6,x
Apodaca,2018,CA09,x,JEFE DE LA OFICINA EJECUTIVA,11121829,23601269.35,x
Apodaca,2018,CA10,x,DIF,81231964,90749383.52,x
Apodaca,2018,CA11,x,CONSEJERÍA JURIDICA,10274777,11404645.06,x
Apodaca,2018,CA12,x,"SECRETARIA DE DESARROLLO URBANO, OBRAS PÚBLICAS, ECOLOGÍA Y TRANSPORTE",652629840,584022591.1,x
Apodaca,2018,CA13,x,PENSIONADOS Y JUBILADOS,50549497,63948106.25,x
Apodaca,2018,CA14,x,REPUBLICANO AYUNTAMIENTO,15495359,14802850.36,x
Apodaca,2018,CA15,x,DEPORTES,60724778,69421357.83,x
Apodaca,2018,CATOT,x,Total del gasto,1991341561,2030485946,x
Atizapan de Zaragoza,2021,CA01,x,Administración,226892870.3,252411452,x
Atizapan de Zaragoza,2021,CA02,x,Contraloría,13508388.01,24402597.59,x
Atizapan de Zaragoza,2021,CA03,x,Desarrollo Urbano y Obras Públicas,293260394.4,253173107.9,x
Atizapan de Zaragoza,2021,CA04,x,Dirección General de Desarrollo y Fomento Económico,23547659.21,21014887.9,x
Atizapan de Zaragoza,2021,CA05,x,Ecología,15544284.96,15273277.11,x
Atizapan de Zaragoza,2021,CA06,x,Gobierno Municipal,0,0,x
Atizapan de Zaragoza,2021,CA07,x,Jurídico,13903888.11,12679807.59,x
Atizapan de Zaragoza,2021,CA08,x,Presidencia,66714132.28,70531421.74,x
Atizapan de Zaragoza,2021,CA09,x,Promoción Social,117385976.3,150695955.5,x
Atizapan de Zaragoza,2021,CA10,x,Regidurías,28253469.81,27510953.33,x
Atizapan de Zaragoza,2021,CA11,x,Secretaría del Ayuntamiento,69890343.07,70394156.92,x
Atizapan de Zaragoza,2021,CA12,x,Seguridad Pública y Tránsito,423029922,454137974.4,x
Atizapan de Zaragoza,2021,CA13,x,Servicios Públicos,306385793.4,342174333.6,x
Atizapan de Zaragoza,2021,CA14,x,Sindicaturas,9585040.96,9601333.89,x
Atizapan de Zaragoza,2021,CA15,x,Tesorería,1297340043,1143081275,x
Atizapan de Zaragoza,2021,CATOT,x,Total del gasto,2905242206,2847082534,x
Atizapan de Zaragoza,2020,CA01,x,Presidencia,67114416.99,37700904.56,x
Atizapan de Zaragoza,2020,CA02,x,Comunicación Social,26845438.73,29154231.98,x
Atizapan de Zaragoza,2020,CA03,x,Derechos humanos,4917295.62,5537923.41,x
Atizapan de Zaragoza,2020,CA04,x,Sindicaturas,8559338.6,9454983.35,x
Atizapan de Zaragoza,2020,CA05,x,Regidurías,38156374.6,29615887.72,x
Atizapan de Zaragoza,2020,CA06,x,Secretaría del Ayuntamiento,65484108.45,63954334.63,x
Atizapan de Zaragoza,2020,CA07,x,Administración,207929679.4,195745196.6,x
Atizapan de Zaragoza,2020,CA08,x,Desarrollo Urbano y Obras Públicas,287935563.5,286927330,x
Atizapan de Zaragoza,2020,CA09,x,Ecología,13369791.55,13710413.18,x
Atizapan de Zaragoza,2020,CA10,x,Servicios Públicos,302322197.5,316088879.9,x
Atizapan de Zaragoza,2020,CA11,x,Promoción Social,6932114.53,5924320.91,x
Atizapan de Zaragoza,2020,CA12,x,Desarrollo Social,122557432.4,107766003.5,x
Atizapan de Zaragoza,2020,CA13,x,Gobierno Municipal,0,0,x
Atizapan de Zaragoza,2020,CA14,x,Contraloría,27258790.67,19989325.58,x
Atizapan de Zaragoza,2020,CA15,x,Tesorería,1226303526,1380611653,x
Atizapan de Zaragoza,2020,CA16,x,Consejería Jurídica,13811994.88,13249975.59,x
Atizapan de Zaragoza,2020,CA17,x,Dirección de Desarrollo Económico,21078833.96,21682157.71,x
Atizapan de Zaragoza,2020,CA18,x,Seguridad Pública y Tránsito,442415608.4,420639003.9,x
Atizapan de Zaragoza,2020,CA19,x,"Unidad de Información, Planeación, Programación y Evaluación",7773379.06,7531826.91,x
Atizapan de Zaragoza,2020,CA20,x,Protección social,36341162.91,34500191.41,x
Atizapan de Zaragoza,2020,CATOT,x,Total del gasto,2927107048,2999784544,x
Atizapan de Zaragoza,2019,CA01,x,Presidencia,35804187,38228195.06,x
Atizapan de Zaragoza,2019,CA02,x,Comunicación Social,24383143,25109019.57,x
Atizapan de Zaragoza,2019,CA03,x,Derechos humanos,6046339,5189805.37,x
Atizapan de Zaragoza,2019,CA04,x,Sindicaturas,12451440,7914177.84,x
Atizapan de Zaragoza,2019,CA05,x,Regidurías,37552099,31750034.89,x
